date,cash,dividend_receivable,market_value,total_value,transaction_cost
2017-01-03,4901.044,0.0,49855424.0,49860325.044,39964.108
2017-01-04,4901.044,0.0,50559212.0,50564113.044,0.0
2017-01-05,4901.044,0.0,50565788.0,50570689.044,0.0
2017-01-06,4901.044,0.0,50571503.0,50576404.044,0.0
2017-01-09,410317.565,0.0,50769122.61,51179440.175,1776.474
2017-01-10,410317.565,0.0,50481725.81,50892043.375,0.0
2017-01-11,410317.565,0.0,50125709.09,50536026.655,0.0
2017-01-12,410317.565,0.0,49686087.95,50096405.515,0.0
2017-01-13,410317.565,0.0,48837549.81,49247867.375,0.0
2017-01-16,60907.03,0.0,47973662.66,48034569.69,1061.51
2017-01-17,60907.03,0.0,48671597.83,48732504.86,0.0
2017-01-18,60907.03,0.0,48562090.71,48622997.74,0.0
2017-01-19,60907.03,0.0,48538852.37,48599759.4,0.0
2017-01-20,60907.03,0.0,49254948.91,49315855.94,0.0
2017-01-23,541872.868,0.0,49078748.59,49620621.458,1984.108
2017-01-24,541872.868,0.0,49223616.92,49765489.788,0.0
2017-01-25,541872.868,0.0,49318759.26,49860632.128,0.0
2017-01-26,541872.868,0.0,49491638.53,50033511.398,0.0
2017-02-03,24270.656,0.0,49994722.86,50018993.516,2046.02
2017-02-06,92558.475,0.0,50329024.39,50421582.865,1032.604
2017-02-07,92558.475,0.0,50210817.39,50303375.865,0.0
2017-02-08,92558.475,0.0,50491626.52,50584184.995,0.0
2017-02-09,92558.475,0.0,50972120.83,51064679.305,0.0
2017-02-10,92558.475,0.0,51184659.21,51277217.685,0.0
2017-02-13,215222.405,0.0,51228028.37,51443250.775,2040.455
2017-02-14,215222.405,0.0,51183160.87,51398383.275,0.0
2017-02-15,215222.405,0.0,50712411.87,50927634.275,0.0
2017-02-16,215222.405,0.0,51311920.56,51527142.965,0.0
2017-02-17,215222.405,0.0,51026317.95,51241540.355,0.0
2017-02-20,10035.174,0.0,52218143.1,52228178.274,5234.997
2017-02-21,10035.174,0.0,52418445.89,52428481.064,0.0
2017-02-22,10035.174,0.0,52766421.22,52776456.394,0.0
2017-02-23,10035.174,0.0,52588204.21,52598239.384,0.0
2017-02-24,10035.174,0.0,52649018.64,52659053.814,0.0
