date,cash,market_value,static_unit_net_value,total_value,unit_net_value,units
2017-01-03,45902.593,49814537.0,1.0,49860439.593,0.997209,50000000.0
2017-01-04,45902.593,50345085.0,0.997,50390987.593,1.00782,50000000.0
2017-01-05,45902.593,50172263.0,1.008,50218165.593,1.004363,50000000.0
2017-01-06,45902.593,49875888.0,1.004,49921790.593,0.998436,50000000.0
2017-01-09,42692.235,50030630.0,0.998,50073322.235,1.001466,50000000.0
2017-01-10,42692.235,49964298.0,1.001,50006990.235,1.00014,50000000.0
2017-01-11,42692.235,49545312.0,1.0,49588004.235,0.99176,50000000.0
2017-01-12,42692.235,49362862.0,0.992,49405554.235,0.988111,50000000.0
2017-01-13,42692.235,49512599.0,0.988,49555291.235,0.991106,50000000.0
2017-01-16,39437.789,49630784.0,0.991,49670221.789,0.993404,50000000.0
2017-01-17,39437.789,49769110.0,0.993,49808547.789,0.996171,50000000.0
2017-01-18,39437.789,50042279.0,0.996,50081716.789,1.001634,50000000.0
2017-01-19,39437.789,49937486.0,1.002,49976923.789,0.999538,50000000.0
2017-01-20,39437.789,50332600.0,1.0,50372037.789,1.007441,50000000.0
2017-01-23,36862.689,50370331.0,1.007,50407193.689,1.008144,50000000.0
2017-01-24,36862.689,50528817.0,1.008,50565679.689,1.011314,50000000.0
2017-01-25,36862.689,50843355.0,1.011,50880217.689,1.017604,50000000.0
2017-01-26,36862.689,50973119.0,1.018,51009981.689,1.0202,50000000.0
2017-02-03,34711.435,50783507.0,1.02,50818218.435,1.016364,50000000.0
2017-02-06,32890.831,50962872.0,1.016,50995762.831,1.019915,50000000.0
2017-02-07,32890.831,50860309.0,1.02,50893199.831,1.017864,50000000.0
2017-02-08,32890.831,51010142.0,1.018,51043032.831,1.020861,50000000.0
2017-02-09,32890.831,51149872.0,1.021,51182762.831,1.023655,50000000.0
2017-02-10,32890.831,51357686.0,1.024,51390576.831,1.027812,50000000.0
2017-02-13,31040.167,51831875.0,1.028,51862915.167,1.037258,50000000.0
2017-02-14,31040.167,51762458.0,1.037,51793498.167,1.03587,50000000.0
