date,cash,dividend_receivable,market_value,total_value,transaction_cost
2017-01-03,45902.593,0.0,49814537.0,49860439.593,39931.333
2017-01-04,45902.593,0.0,50345085.0,50390987.593,0.0
2017-01-05,45902.593,0.0,50172263.0,50218165.593,0.0
2017-01-06,45902.593,0.0,49875888.0,49921790.593,0.0
2017-01-09,42692.235,0.0,50030630.0,50073322.235,25.0
2017-01-10,42692.235,0.0,49964298.0,50006990.235,0.0
2017-01-11,42692.235,0.0,49545312.0,49588004.235,0.0
2017-01-12,42692.235,0.0,49362862.0,49405554.235,0.0
2017-01-13,42692.235,0.0,49512599.0,49555291.235,0.0
2017-01-16,39437.789,0.0,49630784.0,49670221.789,25.0
2017-01-17,39437.789,0.0,49769110.0,49808547.789,0.0
2017-01-18,39437.789,0.0,50042279.0,50081716.789,0.0
2017-01-19,39437.789,0.0,49937486.0,49976923.789,0.0
2017-01-20,39437.789,0.0,50332600.0,50372037.789,0.0
2017-01-23,36862.689,0.0,50370331.0,50407193.689,20.0
2017-01-24,36862.689,0.0,50528817.0,50565679.689,0.0
2017-01-25,36862.689,0.0,50843355.0,50880217.689,0.0
2017-01-26,36862.689,0.0,50973119.0,51009981.689,0.0
2017-02-03,34711.435,0.0,50783507.0,50818218.435,20.0
2017-02-06,32890.831,0.0,50962872.0,50995762.831,15.0
2017-02-07,32890.831,0.0,50860309.0,50893199.831,0.0
2017-02-08,32890.831,0.0,51010142.0,51043032.831,0.0
2017-02-09,32890.831,0.0,51149872.0,51182762.831,0.0
2017-02-10,32890.831,0.0,51357686.0,51390576.831,0.0
2017-02-13,31040.167,0.0,51831875.0,51862915.167,15.0
2017-02-14,31040.167,0.0,51762458.0,51793498.167,0.0
2017-02-15,31040.167,0.0,51400202.0,51431242.167,0.0
2017-02-16,31040.167,0.0,51721014.0,51752054.167,0.0
2017-02-17,31040.167,0.0,51478102.0,51509142.167,0.0
2017-02-20,29534.191,0.0,52460681.0,52490215.191,15.0
2017-02-21,29534.191,0.0,52635329.0,52664863.191,0.0
2017-02-22,29534.191,0.0,52785062.0,52814596.191,0.0
2017-02-23,29534.191,0.0,52583653.0,52613187.191,0.0
2017-02-24,29534.191,0.0,52471099.0,52500633.191,0.0
