date,avg_price,last_price,market_value,order_book_id,quantity,symbol
2017-01-03,14.198,14.17,1106677.0,002027.XSHE,78100.0,分众传媒
2017-01-03,13.277,13.25,1111675.0,600383.XSHG,83900.0,金地集团
2017-01-03,13.266,13.24,720256.0,600597.XSHG,54400.0,光明乳业
2017-01-03,17.996,17.96,765096.0,600518.XSHG,42600.0,ST康美
2017-01-03,15.13,15.1,779160.0,000625.XSHE,51600.0,长安汽车
2017-01-03,6.713,6.7,926610.0,600886.XSHG,138300.0,国投电力
2017-01-03,73.817,73.67,773535.0,000538.XSHE,10500.0,云南白药
2017-01-03,20.481,20.44,1062880.0,600271.XSHG,52000.0,航天信息
2017-01-03,29.178,29.12,861952.0,000333.XSHE,29600.0,美的集团
2017-01-03,4.439,4.43,1300205.0,601398.XSHG,293500.0,工商银行
2017-01-03,335.229,334.56,702576.0,600519.XSHG,2100.0,贵州茅台
2017-01-03,70.992,70.85,736840.0,002304.XSHE,10400.0,洋河股份
2017-01-03,23.938,23.89,735812.0,600104.XSHG,30800.0,上汽集团
2017-01-03,32.445,32.38,1036160.0,002466.XSHE,32000.0,天齐锂业
2017-01-03,17.996,17.96,1298508.0,600036.XSHG,72300.0,招商银行
2017-01-03,8.747,8.73,915777.0,600674.XSHG,104900.0,川投能源
2017-01-03,29.9,29.84,760920.0,002294.XSHE,25500.0,信立泰
2017-01-03,49.93,49.83,737484.0,002594.XSHE,14800.0,比亚迪
2017-01-03,34.729,34.66,724394.0,000858.XSHE,20900.0,五粮液
2017-01-03,17.435,17.4,1425060.0,002142.XSHE,81900.0,宁波银行
2017-01-03,72.655,72.51,768606.0,000963.XSHE,10600.0,华东医药
2017-01-03,3.126,3.12,1299168.0,601288.XSHG,416400.0,农业银行
2017-01-03,21.693,21.65,883320.0,002271.XSHE,40800.0,东方雨虹
2017-01-03,24.288,24.24,812040.0,002415.XSHE,33500.0,海康威视
2017-01-03,16.232,16.2,947700.0,000063.XSHE,58500.0,中兴通讯
2017-01-03,29.779,29.72,763804.0,603288.XSHG,25700.0,海天味业
2017-01-03,14.309,14.28,1083852.0,002310.XSHE,75900.0,东方园林
2017-01-03,9.96,9.94,923426.0,600690.XSHG,92900.0,海尔智家
2017-01-03,35.751,35.68,1523536.0,601318.XSHG,42700.0,中国平安
2017-01-03,21.082,21.04,772168.0,000895.XSHE,36700.0,双汇发展
