date,cash,market_value,static_unit_net_value,total_value,unit_net_value,units
2017-01-03,21869.45,49838503.0,1.0,49860372.45,0.997207,50000000.0
2017-01-04,21869.45,50316649.0,0.997,50338518.45,1.00677,50000000.0
2017-01-05,21869.45,50215677.0,1.007,50237546.45,1.004751,50000000.0
2017-01-06,21869.45,49988562.0,1.005,50010431.45,1.000209,50000000.0
2017-01-09,101444.067,49963854.36,1.0,50065298.427,1.001306,50000000.0
2017-01-10,101444.067,49949095.27,1.001,50050539.337,1.001011,50000000.0
2017-01-11,101444.067,49609848.94,1.001,49711293.007,0.994226,50000000.0
2017-01-12,101444.067,49507457.57,0.994,49608901.637,0.992178,50000000.0
2017-01-13,101444.067,49943216.38,0.992,50044660.447,1.000893,50000000.0
2017-01-16,20917.586,50269164.07,1.001,50290081.656,1.005802,50000000.0
2017-01-17,20917.586,50264921.27,1.006,50285838.856,1.005717,50000000.0
2017-01-18,20917.586,50621098.66,1.006,50642016.246,1.01284,50000000.0
2017-01-19,20917.586,50458762.49,1.013,50479680.076,1.009594,50000000.0
2017-01-20,20917.586,50731403.71,1.01,50752321.296,1.015046,50000000.0
2017-01-23,154134.247,50645136.02,1.015,50799270.267,1.015985,50000000.0
2017-01-24,154134.247,50800920.86,1.016,50955055.107,1.019101,50000000.0
2017-01-25,154134.247,51055903.26,1.019,51210037.507,1.024201,50000000.0
2017-01-26,154134.247,51225724.22,1.024,51379858.467,1.027597,50000000.0
2017-02-03,12776.973,51145480.25,1.028,51158257.223,1.023165,50000000.0
2017-02-06,11964.3,51195126.6,1.023,51207090.9,1.024142,50000000.0
2017-02-07,11964.3,51155965.54,1.024,51167929.84,1.023359,50000000.0
2017-02-08,11964.3,51379636.7,1.023,51391601.0,1.027832,50000000.0
2017-02-09,11964.3,51589617.61,1.028,51601581.91,1.032032,50000000.0
2017-02-10,11964.3,51762624.31,1.032,51774588.61,1.035492,50000000.0
2017-02-13,162776.308,52104464.65,1.035,52267240.958,1.045345,50000000.0
