date,cash,dividend_receivable,market_value,total_value,transaction_cost
2017-01-03,21869.45,0.0,49838503.0,49860372.45,39950.544
2017-01-04,21869.45,0.0,50316649.0,50338518.45,0.0
2017-01-05,21869.45,0.0,50215677.0,50237546.45,0.0
2017-01-06,21869.45,0.0,49988562.0,50010431.45,0.0
2017-01-09,101444.067,0.0,49963854.36,50065298.427,631.996
2017-01-10,101444.067,0.0,49949095.27,50050539.337,0.0
2017-01-11,101444.067,0.0,49609848.94,49711293.007,0.0
2017-01-12,101444.067,0.0,49507457.57,49608901.637,0.0
2017-01-13,101444.067,0.0,49943216.38,50044660.447,0.0
2017-01-16,20917.586,0.0,50269164.07,50290081.656,884.712
2017-01-17,20917.586,0.0,50264921.27,50285838.856,0.0
2017-01-18,20917.586,0.0,50621098.66,50642016.246,0.0
2017-01-19,20917.586,0.0,50458762.49,50479680.076,0.0
2017-01-20,20917.586,0.0,50731403.71,50752321.296,0.0
2017-01-23,154134.247,0.0,50645136.02,50799270.267,595.266
2017-01-24,154134.247,0.0,50800920.86,50955055.107,0.0
2017-01-25,154134.247,0.0,51055903.26,51210037.507,0.0
2017-01-26,154134.247,0.0,51225724.22,51379858.467,0.0
2017-02-03,12776.973,0.0,51145480.25,51158257.223,799.5
2017-02-06,11964.3,0.0,51195126.6,51207090.9,834.959
2017-02-07,11964.3,0.0,51155965.54,51167929.84,0.0
2017-02-08,11964.3,0.0,51379636.7,51391601.0,0.0
2017-02-09,11964.3,0.0,51589617.61,51601581.91,0.0
2017-02-10,11964.3,0.0,51762624.31,51774588.61,0.0
2017-02-13,162776.308,0.0,52104464.65,52267240.958,3090.918
2017-02-14,162776.308,0.0,52055682.32,52218458.628,0.0
2017-02-15,162776.308,0.0,51873224.65,52036000.958,0.0
2017-02-16,162776.308,0.0,52037729.44,52200505.748,0.0
2017-02-17,162776.308,0.0,51817306.7,51980083.008,0.0
2017-02-20,139105.004,0.0,52795890.82,52934995.824,1187.768
2017-02-21,139105.004,0.0,52917799.94,53056904.944,0.0
2017-02-22,139105.004,0.0,52990887.48,53129992.484,0.0
2017-02-23,139105.004,0.0,52724052.03,52863157.034,0.0
2017-02-24,139105.004,0.0,52604416.21,52743521.214,0.0
2017-02-27,70187.423,0.0,52237076.81,52307264.233,604.063
2017-02-28,70187.423,0.0,52442914.78,52513102.203,0.0
2017-03-01,70187.423,0.0,52547625.29,52617812.713,0.0
2017-03-02,70187.423,0.0,52217505.78,52287693.203,0.0
2017-03-03,70187.423,0.0,52276272.39,52346459.813,0.0
2017-03-06,2449420.333,0.0,49951990.56,52401410.893,6942.479
2017-03-07,2449420.333,0.0,50225303.9,52674724.233,0.0
2017-03-08,2449420.333,0.0,50210945.51,52660365.843,0.0
2017-03-09,2449420.333,0.0,49984867.67,52434288.003,0.0
2017-03-10,2449420.333,0.0,50034761.28,52484181.613,0.0
2017-03-13,635.477,0.0,52842533.65,52843169.127,2825.536
2017-03-14,635.477,0.0,53100750.8,53101386.277,0.0
2017-03-15,635.477,0.0,53295784.43,53296419.907,0.0
2017-03-16,635.477,0.0,53438259.88,53438895.357,0.0
2017-03-17,635.477,0.0,53067371.79,53068007.267,0.0
2017-03-20,108095.863,0.0,52869113.62,52977209.483,1674.286
2017-03-21,108095.863,0.0,53221783.71,53329879.573,0.0
2017-03-22,108095.863,0.0,53003469.43,53111565.293,0.0
2017-03-23,108095.863,0.0,53298731.05,53406826.913,0.0
2017-03-24,108095.863,0.0,53735364.29,53843460.153,0.0
2017-03-27,340707.505,0.0,53468443.71,53809151.215,2458.787
2017-03-28,340707.505,0.0,53229964.03,53570671.535,0.0
2017-03-29,396587.485,0.0,53057312.11,53453899.595,0.0
2017-03-30,396587.485,0.0,52859001.93,53255589.415,0.0
2017-03-31,396587.485,0.0,53351839.63,53748427.115,0.0
2017-04-05,77664.523,0.0,54085372.35,54163036.873,1739.864
2017-04-06,77664.523,0.0,54117144.14,54194808.663,0.0
2017-04-07,77664.523,0.0,54269312.43,54346976.953,0.0
2017-04-10,535369.511,0.0,53787577.69,54322947.201,3406.163
2017-04-11,535369.511,0.0,53637388.61,54172758.121,0.0
2017-04-12,535369.511,0.0,53543804.36,54079173.871,0.0
2017-04-13,535369.511,0.0,53682804.76,54218174.271,0.0
2017-04-14,535369.511,0.0,53427850.15,53963219.661,0.0
2017-04-17,66481.86,0.0,53843151.39,53909633.25,1334.314
2017-04-18,66481.86,0.0,53833519.84,53900001.7,0.0
2017-04-19,69838.86,0.0,53883581.7,53953420.56,0.0
2017-04-20,69838.86,0.0,54474281.16,54544120.02,0.0
2017-04-21,69838.86,0.0,54566120.24,54635959.1,0.0
2017-04-24,69148.002,0.0,54480082.51,54549230.512,373.463
2017-04-25,69420.002,0.0,54870088.82,54939508.822,0.0
2017-04-26,69420.002,0.0,55013532.16,55082952.162,0.0
2017-04-27,69420.002,0.0,55075867.55,55145287.552,0.0
2017-04-28,69420.002,0.0,54832119.21,54901539.212,0.0
2017-05-02,104632.28,0.0,54566939.75,54671572.03,1271.61
2017-05-03,104632.28,0.0,54530182.11,54634814.39,0.0
2017-05-04,104632.28,0.0,54553944.77,54658577.05,0.0
2017-05-05,104887.28,0.0,54501925.6,54606812.88,0.0
2017-05-08,5041.569,0.0,54414561.83,54419603.399,765.483
2017-05-09,5461.569,0.0,54441240.49,54446702.059,0.0
2017-05-10,30631.569,0.0,54810295.62,54840927.189,0.0
2017-05-11,31591.569,0.0,55166242.04,55197833.609,0.0
2017-05-12,85635.069,0.0,55900019.56,55985654.629,0.0
2017-05-15,246663.919,0.0,56085838.38,56332502.299,1824.163
2017-05-16,279582.919,0.0,56485610.545,56765193.464,0.0
2017-05-17,279582.919,0.0,56047115.955,56326698.874,0.0
2017-05-18,279851.459,0.0,56092906.875,56372758.334,0.0
2017-05-19,279911.459,0.0,56281431.29,56561342.749,0.0
2017-05-22,32983.621,0.0,57013817.735,57046801.356,1100.952
2017-05-23,32983.621,0.0,57628739.165,57661722.786,0.0
2017-05-24,32983.621,0.0,57471443.675,57504427.296,0.0
2017-05-25,32983.621,0.0,58186197.42,58219181.041,0.0
2017-05-26,33453.621,0.0,58185009.73,58218463.351,0.0
2017-05-31,148236.186,0.0,58493815.959,58642052.145,1798.62
2017-06-01,148253.136,0.0,59044002.611,59192255.747,0.0
2017-06-02,148305.936,0.0,58578429.658,58726735.594,0.0
2017-06-05,91859.998,0.0,58121458.222,58213318.22,366.214
2017-06-06,91970.198,0.0,58730083.689,58822053.887,0.0
2017-06-07,94576.198,0.0,59515001.769,59609577.967,0.0
2017-06-08,94643.998,0.0,60002906.396,60097550.394,0.0
2017-06-09,94796.998,0.0,60344530.949,60439327.947,0.0
2017-06-12,86422.914,0.0,60654882.988,60741305.902,7854.965
2017-06-13,95693.714,0.0,60525906.605,60621600.319,0.0
2017-06-14,195374.114,0.0,59688513.237,59883887.351,0.0
2017-06-15,195599.234,0.0,59240636.952,59436236.186,0.0
2017-06-16,272927.184,0.0,59092624.006,59365551.19,0.0
2017-06-19,155744.32,0.0,59509937.742,59665682.062,675.663
2017-06-20,155744.32,0.0,59477091.61,59632835.93,0.0
2017-06-21,187727.82,0.0,60313481.419,60501209.239,0.0
2017-06-22,188027.82,0.0,60704090.016,60892117.836,0.0
2017-06-23,188027.82,0.0,61396645.958,61584673.778,0.0
2017-06-26,224343.128,0.0,62285729.999,62510073.127,1362.65
2017-06-27,224343.128,0.0,62528280.905,62752624.033,0.0
2017-06-28,224343.128,0.0,62001575.48,62225918.608,0.0
2017-06-29,224814.628,0.0,62502840.687,62727655.315,0.0
2017-06-30,224936.128,0.0,62423439.794,62648375.922,0.0
2017-07-03,130453.174,0.0,61933128.108,62063581.282,1520.255
2017-07-04,130453.174,0.0,61502183.483,61632636.657,0.0
2017-07-05,184589.974,0.0,62664191.53,62848781.504,0.0
2017-07-06,238676.186,0.0,62798986.385,63037662.571,0.0
2017-07-07,313304.099,0.0,62318903.523,62632207.622,0.0
2017-07-10,86456.413,0.0,62233032.072,62319488.485,1687.549
2017-07-11,317098.413,0.0,62782401.704,63099500.117,0.0
2017-07-12,317643.813,0.0,62411347.602,62728991.415,0.0
2017-07-13,467887.413,0.0,63172806.239,63640693.652,0.0
2017-07-14,734821.893,0.0,63293406.253,64028228.146,0.0
2017-07-17,322000.883,0.0,63680960.042,64002960.925,1337.01
2017-07-18,327855.321,0.0,63553436.802,63881292.123,0.0
2017-07-19,328048.131,0.0,64233816.412,64561864.543,0.0
2017-07-20,328048.131,0.0,64410856.177,64738904.308,0.0
2017-07-21,328048.131,0.0,64037013.795,64365061.926,0.0
2017-07-24,173997.529,0.0,64619727.553,64793725.082,966.56
2017-07-25,173997.529,0.0,64447418.674,64621416.203,0.0
2017-07-26,173997.529,0.0,63990408.082,64164405.611,0.0
2017-07-27,173997.529,0.0,64156631.637,64330629.166,0.0
2017-07-28,173997.529,0.0,64423620.847,64597618.376,0.0
2017-07-31,278828.627,0.0,64337207.66,64616036.287,1041.08
2017-08-01,280333.827,0.0,65102783.344,65383117.171,0.0
2017-08-02,280333.827,0.0,65192910.269,65473244.096,0.0
2017-08-03,280333.827,0.0,64280059.694,64560393.521,0.0
2017-08-04,283877.985,0.0,63602855.795,63886733.78,0.0
2017-08-07,618797.597,0.0,63675896.864,64294694.461,3049.116
2017-08-08,618797.597,0.0,63749593.461,64368391.058,0.0
2017-08-09,618797.597,0.0,63799545.817,64418343.414,0.0
2017-08-10,644096.477,0.0,63891006.843,64535103.32,0.0
2017-08-11,644096.477,0.0,63450277.781,64094374.258,0.0
2017-08-14,402.141,0.0,64830398.543,64830800.684,514.544
2017-08-15,402.141,0.0,65324688.94,65325091.081,0.0
2017-08-16,402.141,0.0,64966402.333,64966804.474,0.0
2017-08-17,402.141,0.0,64914380.578,64914782.719,0.0
2017-08-18,402.141,0.0,65053709.67,65054111.811,0.0
2017-08-21,62870.768,0.0,65057731.428,65120602.196,789.11
2017-08-22,62870.768,0.0,65364272.224,65427142.992,0.0
2017-08-23,62870.768,0.0,65996403.493,66059274.261,0.0
2017-08-24,63442.768,0.0,65690966.419,65754409.187,0.0
2017-08-25,64223.7,0.0,66797169.941,66861393.641,0.0
2017-08-28,1428000.015,0.0,66266310.257,67694310.272,8245.45
2017-08-29,1504709.015,0.0,65987809.067,67492518.082,0.0
2017-08-30,1504709.015,0.0,65833428.507,67338137.522,0.0
2017-08-31,1504709.015,0.0,65372338.788,66877047.803,0.0
2017-09-01,1504709.015,0.0,65357874.998,66862584.013,0.0
2017-09-04,477180.326,0.0,66736530.166,67213710.492,6783.238
2017-09-05,477180.326,0.0,67242222.745,67719403.071,0.0
2017-09-06,477180.326,0.0,67088634.31,67565814.636,0.0
2017-09-07,477180.326,0.0,66884634.754,67361815.08,0.0
2017-09-08,477180.326,0.0,66979085.473,67456265.799,0.0
2017-09-11,32472.168,0.0,67331917.489,67364389.657,2013.242
2017-09-12,32472.168,0.0,67707251.874,67739724.042,0.0
2017-09-13,32472.168,0.0,67807315.61,67839787.778,0.0
2017-09-14,36815.968,0.0,67595252.321,67632068.289,0.0
2017-09-15,36815.968,0.0,67781226.873,67818042.841,0.0
2017-09-18,236560.434,0.0,67615606.549,67852166.983,1793.529
2017-09-19,236560.434,0.0,67622156.246,67858716.68,0.0
2017-09-20,236560.434,0.0,67883024.196,68119584.63,0.0
2017-09-21,236560.434,0.0,68131414.97,68367975.404,0.0
2017-09-22,236560.434,0.0,68495303.383,68731863.817,0.0
2017-09-25,359499.486,0.0,68514751.488,68874250.974,1363.877
2017-09-26,359499.486,0.0,68412845.286,68772344.772,0.0
2017-09-27,359499.486,0.0,68202503.405,68562002.891,0.0
2017-09-28,359499.486,0.0,68332634.033,68692133.519,0.0
2017-09-29,359499.486,0.0,68509931.793,68869431.279,0.0
2017-10-09,102150.027,0.0,69691786.389,69793936.416,2686.177
2017-10-10,102150.027,0.0,69827820.43,69929970.457,0.0
2017-10-11,102150.027,0.0,70414473.641,70516623.668,0.0
2017-10-12,102150.027,0.0,70610529.106,70712679.133,0.0
2017-10-13,102150.027,0.0,70770101.563,70872251.59,0.0
2017-10-16,153108.521,0.0,70997664.832,71150773.353,2101.595
2017-10-17,153108.521,0.0,71174953.485,71328062.006,0.0
2017-10-18,153108.521,0.0,72117430.024,72270538.545,0.0
2017-10-19,153108.521,0.0,72445012.007,72598120.528,0.0
2017-10-20,153108.521,0.0,71979084.249,72132192.77,0.0
2017-10-23,79550.729,0.0,71998872.328,72078423.057,1084.083
2017-10-24,79550.729,0.0,72443218.159,72522768.888,0.0
2017-10-25,79550.729,0.0,72751054.044,72830604.773,0.0
2017-10-26,79550.729,0.0,73190050.422,73269601.151,0.0
2017-10-27,79550.729,0.0,74297282.033,74376832.762,0.0
2017-10-30,106565.569,0.0,74343756.7,74450322.269,2437.156
2017-10-31,106565.569,0.0,74136440.846,74243006.415,0.0
2017-11-01,106565.569,0.0,73944207.187,74050772.756,0.0
2017-11-02,106565.569,0.0,74006855.831,74113421.4,0.0
2017-11-03,106565.569,0.0,73990716.25,74097281.819,0.0
2017-11-06,227.296,0.0,74715921.857,74716149.153,732.665
2017-11-07,227.296,0.0,75072691.625,75072918.921,0.0
2017-11-08,227.296,0.0,74721241.221,74721468.517,0.0
2017-11-09,227.296,0.0,74934837.803,74935065.099,0.0
2017-11-10,227.296,0.0,75844709.546,75844936.842,0.0
2017-11-13,3443.512,0.0,76379392.247,76382835.759,6001.993
2017-11-14,3443.512,0.0,76494270.218,76497713.73,0.0
2017-11-15,3443.512,0.0,76191182.004,76194625.516,0.0
2017-11-16,3443.512,0.0,77223805.079,77227248.591,0.0
2017-11-17,3443.512,0.0,78027423.66,78030867.172,0.0
2017-11-20,9570.534,0.0,78393660.337,78403230.871,2357.145
2017-11-21,9570.534,0.0,79555517.464,79565087.998,0.0
2017-11-22,9570.534,0.0,79572706.879,79582277.413,0.0
2017-11-23,9570.534,0.0,76994003.824,77003574.358,0.0
2017-11-24,9570.534,0.0,77268050.512,77277621.046,0.0
2017-11-27,623638.908,0.0,75024113.701,75647752.609,3830.931
2017-11-28,623638.908,0.0,75295609.567,75919248.475,0.0
2017-11-29,623638.908,0.0,75619648.329,76243287.237,0.0
2017-11-30,623638.908,0.0,74633995.431,75257634.339,0.0
2017-12-01,623638.908,0.0,74398113.296,75021752.204,0.0
2017-12-04,400439.477,0.0,75418765.689,75819205.166,2054.606
2017-12-05,400439.477,0.0,76179783.096,76580222.573,0.0
2017-12-06,400439.477,0.0,75544820.975,75945260.452,0.0
2017-12-07,400439.477,0.0,74332385.521,74732824.998,0.0
2017-12-08,400439.477,0.0,74973234.313,75373673.79,0.0
2017-12-11,124.684,0.0,76850572.808,76850697.492,550.568
2017-12-12,124.684,0.0,75765927.754,75766052.438,0.0
2017-12-13,124.684,0.0,76754892.38,76755017.064,0.0
2017-12-14,124.684,0.0,76492235.437,76492360.121,0.0
2017-12-15,124.684,0.0,75460619.961,75460744.645,0.0
2017-12-18,8311.979,0.0,75581966.618,75590278.597,183.204
2017-12-19,8311.979,0.0,77017347.641,77025659.62,0.0
2017-12-20,8311.979,0.0,77356778.489,77365090.468,0.0
2017-12-21,8311.979,0.0,78324575.866,78332887.845,0.0
2017-12-22,8311.979,0.0,78004482.88,78012794.859,0.0
2017-12-25,136718.276,0.0,77851451.253,77988169.529,2581.808
2017-12-26,136718.276,0.0,78205920.977,78342639.253,0.0
2017-12-27,136718.276,0.0,76787518.638,76924236.914,0.0
2017-12-28,136718.276,0.0,77688848.038,77825566.314,0.0
2017-12-29,136718.276,0.0,77781760.11,77918478.386,0.0
2018-01-02,82498.432,0.0,78650879.035,78733377.467,932.285
