date,cash,market_value,static_unit_net_value,total_value,unit_net_value,units
2017-01-03,-3780.209,49864081.0,1.0,49860300.791,0.997206,50000000.0
2017-01-04,-3780.209,50629185.0,0.997,50625404.791,1.012508,50000000.0
2017-01-05,-3780.209,50549977.0,1.013,50546196.791,1.010924,50000000.0
2017-01-06,-3780.209,50507215.0,1.011,50503434.791,1.010069,50000000.0
2017-01-09,212585.45,50768995.54,1.01,50981580.99,1.019632,50000000.0
2017-01-10,212585.45,50435029.83,1.02,50647615.28,1.012952,50000000.0
2017-01-11,212585.45,50122984.35,1.013,50335569.8,1.006711,50000000.0
2017-01-12,212585.45,49767415.66,1.007,49980001.11,0.9996,50000000.0
2017-01-13,212585.45,48962246.16,1.0,49174831.61,0.983497,50000000.0
2017-01-16,387962.228,47752825.84,0.983,48140788.068,0.962816,50000000.0
2017-01-17,387962.228,48364774.31,0.963,48752736.538,0.975055,50000000.0
2017-01-18,387962.228,48354035.25,0.975,48741997.478,0.97484,50000000.0
2017-01-19,387962.228,48401552.28,0.975,48789514.508,0.97579,50000000.0
2017-01-20,387962.228,49092365.31,0.976,49480327.538,0.989607,50000000.0
2017-01-23,588675.878,49136151.68,0.99,49724827.558,0.994497,50000000.0
2017-01-24,588675.878,49376494.83,0.994,49965170.708,0.999303,50000000.0
2017-01-25,588675.878,49475633.18,0.999,50064309.058,1.001286,50000000.0
2017-01-26,588675.878,49580286.32,1.001,50168962.198,1.003379,50000000.0
2017-02-03,22752.786,50135577.93,1.003,50158330.716,1.003167,50000000.0
2017-02-06,136813.071,50428373.64,1.003,50565186.711,1.011304,50000000.0
2017-02-07,136813.071,50323229.13,1.011,50460042.201,1.009201,50000000.0
2017-02-08,136813.071,50581761.4,1.009,50718574.471,1.014371,50000000.0
2017-02-09,136813.071,51079792.84,1.014,51216605.911,1.024332,50000000.0
2017-02-10,136813.071,51390782.6,1.024,51527595.671,1.030552,50000000.0
2017-02-13,261942.689,51435116.14,1.031,51697058.829,1.033941,50000000.0
