date,cash,dividend_receivable,market_value,total_value,transaction_cost
2017-01-03,-3780.209,0.0,49864081.0,49860300.791,39971.047
2017-01-04,-3780.209,0.0,50629185.0,50625404.791,0.0
2017-01-05,-3780.209,0.0,50549977.0,50546196.791,0.0
2017-01-06,-3780.209,0.0,50507215.0,50503434.791,0.0
2017-01-09,212585.45,0.0,50768995.54,50981580.99,1363.766
2017-01-10,212585.45,0.0,50435029.83,50647615.28,0.0
2017-01-11,212585.45,0.0,50122984.35,50335569.8,0.0
2017-01-12,212585.45,0.0,49767415.66,49980001.11,0.0
2017-01-13,212585.45,0.0,48962246.16,49174831.61,0.0
2017-01-16,387962.228,0.0,47752825.84,48140788.068,1059.657
2017-01-17,387962.228,0.0,48364774.31,48752736.538,0.0
2017-01-18,387962.228,0.0,48354035.25,48741997.478,0.0
2017-01-19,387962.228,0.0,48401552.28,48789514.508,0.0
2017-01-20,387962.228,0.0,49092365.31,49480327.538,0.0
2017-01-23,588675.878,0.0,49136151.68,49724827.558,1893.822
2017-01-24,588675.878,0.0,49376494.83,49965170.708,0.0
2017-01-25,588675.878,0.0,49475633.18,50064309.058,0.0
2017-01-26,588675.878,0.0,49580286.32,50168962.198,0.0
2017-02-03,22752.786,0.0,50135577.93,50158330.716,1059.267
2017-02-06,136813.071,0.0,50428373.64,50565186.711,833.24
2017-02-07,136813.071,0.0,50323229.13,50460042.201,0.0
2017-02-08,136813.071,0.0,50581761.4,50718574.471,0.0
2017-02-09,136813.071,0.0,51079792.84,51216605.911,0.0
2017-02-10,136813.071,0.0,51390782.6,51527595.671,0.0
2017-02-13,261942.689,0.0,51435116.14,51697058.829,2169.646
2017-02-14,261942.689,0.0,51409139.95,51671082.639,0.0
2017-02-15,261942.689,0.0,50907925.79,51169868.479,0.0
2017-02-16,261942.689,0.0,51669354.31,51931296.999,0.0
2017-02-17,261942.689,0.0,51236066.09,51498008.779,0.0
2017-02-20,387264.67,0.0,52218594.56,52605859.23,1570.577
2017-02-21,387264.67,0.0,52355365.14,52742629.81,0.0
2017-02-22,387264.67,0.0,52712751.69,53100016.36,0.0
2017-02-23,387264.67,0.0,52507169.05,52894433.72,0.0
2017-02-24,387264.67,0.0,52509466.35,52896731.02,0.0
2017-02-27,141175.394,0.0,52264833.25,52406008.644,1649.245
2017-02-28,141175.394,0.0,52617436.08,52758611.474,0.0
2017-03-01,141175.394,0.0,52958632.4,53099807.794,0.0
2017-03-02,141175.394,0.0,53003659.29,53144834.684,0.0
2017-03-03,141175.394,0.0,52967954.42,53109129.814,0.0
2017-03-06,113081.366,0.0,53565452.95,53678534.316,7361.306
2017-03-07,113081.366,0.0,53761052.27,53874133.636,0.0
2017-03-08,113081.366,0.0,53638414.77,53751496.136,0.0
2017-03-09,113081.366,0.0,53217315.97,53330397.336,0.0
2017-03-10,113081.366,0.0,53594365.2,53707446.566,0.0
2017-03-13,16893.415,0.0,54570082.8,54586976.215,2578.941
2017-03-14,16893.415,0.0,54267427.05,54284320.465,0.0
2017-03-15,16893.415,0.0,54545660.8,54562554.215,0.0
2017-03-16,16893.415,0.0,54869444.68,54886338.095,0.0
2017-03-17,16893.415,0.0,54131219.74,54148113.155,0.0
2017-03-20,783011.586,0.0,53879623.3,54662634.886,3256.666
2017-03-21,783011.586,0.0,54313484.75,55096496.336,0.0
2017-03-22,783011.586,0.0,54403560.46,55186572.046,0.0
2017-03-23,783011.586,0.0,54770096.31,55553107.896,0.0
2017-03-24,783011.586,0.0,55047099.17,55830110.756,0.0
2017-03-27,1612183.053,0.0,53665770.32,55277953.373,5617.213
2017-03-28,1612183.053,0.0,53741388.88,55353571.933,0.0
2017-03-29,1612183.053,0.0,53589458.32,55201641.373,0.0
2017-03-30,1612183.053,0.0,52897051.66,54509234.713,0.0
2017-03-31,1612183.053,0.0,53525890.74,55138073.793,0.0
2017-04-05,339197.039,0.0,56099262.51,56438459.549,3497.728
2017-04-06,339197.039,0.0,56204484.46,56543681.499,0.0
2017-04-07,339197.039,0.0,56301112.45,56640309.489,0.0
2017-04-10,617197.439,0.0,56140191.76,56757389.199,6103.825
2017-04-11,617197.439,0.0,56149076.07,56766273.509,0.0
2017-04-12,617197.439,0.0,55746377.53,56363574.969,0.0
2017-04-13,617197.439,0.0,56521636.06,57138833.499,0.0
2017-04-14,617197.439,0.0,55722345.91,56339543.349,0.0
2017-04-17,870543.051,0.0,54905650.84,55776193.891,2257.853
2017-04-18,870543.051,0.0,54968277.52,55838820.571,0.0
2017-04-19,870543.051,0.0,54703209.05,55573752.101,0.0
2017-04-20,870543.051,0.0,55086270.62,55956813.671,0.0
2017-04-21,870543.051,0.0,54668294.35,55538837.401,0.0
2017-04-24,-21.924,0.0,53855981.19,53855959.266,4156.055
2017-04-25,-21.924,0.0,54214753.17,54214731.246,0.0
2017-04-26,-21.924,0.0,54629523.53,54629501.606,0.0
2017-04-27,-21.924,0.0,54638769.28,54638747.356,0.0
2017-04-28,-21.924,0.0,54362195.29,54362173.366,0.0
2017-05-02,883087.299,0.0,53378645.79,54261733.089,3340.294
2017-05-03,883087.299,0.0,53241979.35,54125066.649,0.0
2017-05-04,883087.299,0.0,53012377.19,53895464.489,0.0
2017-05-05,883087.299,0.0,52152047.08,53035134.379,0.0
2017-05-08,73085.959,0.0,52032273.86,52105359.819,2187.207
2017-05-09,73085.959,0.0,52246771.34,52319857.299,0.0
2017-05-10,83671.939,0.0,51491059.26,51574731.199,0.0
2017-05-11,83671.939,0.0,51654749.62,51738421.559,0.0
2017-05-12,146515.139,0.0,51529301.43,51675816.569,0.0
2017-05-15,424721.654,0.0,51733795.18,52158516.834,1978.821
2017-05-16,424721.654,0.0,52960110.47,53384832.124,0.0
2017-05-17,424721.654,0.0,52828977.51,53253699.164,0.0
2017-05-18,458755.154,0.0,52467384.08,52926139.234,0.0
2017-05-19,491180.804,0.0,52188740.98,52679921.784,0.0
2017-05-22,-31.762,0.0,52244059.4,52244027.638,1139.619
2017-05-23,-31.762,0.0,51777170.07,51777138.308,0.0
2017-05-24,29762.738,0.0,51904731.82,51934494.558,0.0
2017-05-25,29762.738,0.0,52218604.5,52248367.238,0.0
2017-05-26,65156.988,0.0,52080853.63,52146010.618,0.0
2017-05-31,848487.478,0.0,51707221.07,52555708.548,1996.446
2017-06-01,860523.478,0.0,51060657.93,51921181.408,0.0
2017-06-02,860523.478,0.0,51272451.46,52132974.938,0.0
2017-06-05,339175.679,0.0,52250984.53,52590160.209,2299.848
2017-06-06,359260.479,0.0,52471923.7,52831184.179,0.0
2017-06-07,359260.479,0.0,53475007.83,53834268.309,0.0
2017-06-08,363346.379,0.0,53931538.66,54294885.039,0.0
2017-06-09,363346.379,0.0,54167274.72,54530621.099,0.0
2017-06-12,1037805.591,0.0,53197266.41,54235072.001,3475.973
2017-06-13,1037805.591,0.0,53902988.47,54940794.061,0.0
2017-06-14,1200310.111,0.0,53372677.17,54572987.281,0.0
2017-06-15,1200310.111,0.0,53547502.22,54747812.331,0.0
2017-06-16,1200310.111,0.0,53470273.03,54670583.141,0.0
2017-06-19,238442.814,0.0,54987909.42,55226352.234,1591.171
2017-06-20,238442.814,0.0,55101591.73,55340034.544,0.0
2017-06-21,238442.814,0.0,55790571.57,56029014.384,0.0
2017-06-22,277735.464,0.0,55171474.11,55449209.574,0.0
2017-06-23,277735.464,0.0,55818099.26,56095834.724,0.0
2017-06-26,334258.119,0.0,57014787.5,57349045.619,2569.541
2017-06-27,337789.749,0.0,57366797.59,57704587.339,0.0
2017-06-28,337789.749,0.0,56953373.43,57291163.179,0.0
2017-06-29,337789.749,0.0,57446108.66,57783898.409,0.0
2017-06-30,341376.949,0.0,57596019.29,57937396.239,0.0
2017-07-03,1333.815,0.0,57840821.83,57842155.645,1803.965
2017-07-04,1333.815,0.0,57876364.26,57877698.075,0.0
2017-07-05,1333.815,0.0,58268323.28,58269657.095,0.0
2017-07-06,1333.815,0.0,58037117.13,58038450.945,0.0
2017-07-07,1333.815,0.0,58237983.56,58239317.375,0.0
2017-07-10,78914.126,0.0,57898430.9,57977345.026,1787.231
2017-07-11,78914.126,0.0,57480598.06,57559512.186,0.0
2017-07-12,79717.476,0.0,57411945.73,57491663.206,0.0
2017-07-13,79717.476,0.0,57642545.64,57722263.116,0.0
2017-07-14,166049.976,0.0,57664202.15,57830252.126,0.0
2017-07-17,222906.924,0.0,55666964.08,55889871.004,2741.515
2017-07-18,257732.424,0.0,55971778.86,56229511.284,0.0
2017-07-19,257732.424,0.0,57226862.16,57484594.584,0.0
2017-07-20,257732.424,0.0,57947908.54,58205640.964,0.0
2017-07-21,257732.424,0.0,58147463.36,58405195.784,0.0
2017-07-24,637778.468,0.0,58187740.85,58825519.318,3561.887
2017-07-25,637778.468,0.0,57307759.87,57945538.338,0.0
2017-07-26,637778.468,0.0,56987444.13,57625222.598,0.0
2017-07-27,637778.468,0.0,57181041.86,57818820.328,0.0
2017-07-28,637778.468,0.0,57593531.27,58231309.738,0.0
2017-07-31,128192.764,0.0,58628264.01,58756456.774,2554.077
2017-08-01,128192.764,0.0,58628531.48,58756724.244,0.0
2017-08-02,128192.764,0.0,58493944.36,58622137.124,0.0
2017-08-03,128192.764,0.0,58634763.01,58762955.774,0.0
2017-08-04,128192.764,0.0,58213388.84,58341581.604,0.0
