date,cash,market_value,static_unit_net_value,total_value,unit_net_value,units
2017-01-03,1933926.303,47931788.0,1.0,49865714.303,0.997314,50000000.0
2017-01-04,1933926.303,48361162.0,0.997,50295088.303,1.005902,50000000.0
2017-01-05,1933926.303,48376581.0,1.006,50310507.303,1.00621,50000000.0
2017-01-06,1933926.303,48099037.0,1.006,50032963.303,1.000659,50000000.0
2017-01-09,1867072.723,48457520.93,1.001,50324593.653,1.006492,50000000.0
2017-01-10,1867072.723,48346117.38,1.006,50213190.103,1.004264,50000000.0
2017-01-11,1867072.723,47934663.64,1.004,49801736.363,0.996035,50000000.0
2017-01-12,1867072.723,47560700.84,0.996,49427773.563,0.988555,50000000.0
2017-01-13,1867072.723,47333246.42,0.989,49200319.143,0.984006,50000000.0
2017-01-16,1638418.977,47177028.26,0.984,48815447.237,0.976309,50000000.0
2017-01-17,1638418.977,47385730.22,0.976,49024149.197,0.980483,50000000.0
2017-01-18,1638418.977,47426849.11,0.98,49065268.087,0.981305,50000000.0
2017-01-19,1638418.977,47304369.96,0.981,48942788.937,0.978856,50000000.0
2017-01-20,1638418.977,47768955.34,0.979,49407374.317,0.988147,50000000.0
2017-01-23,1464659.552,48170541.44,0.988,49635200.992,0.992704,50000000.0
2017-01-24,1464659.552,48099247.51,0.993,49563907.062,0.991278,50000000.0
2017-01-25,1464659.552,48271225.68,0.991,49735885.232,0.994718,50000000.0
2017-01-26,1464659.552,48497645.64,0.995,49962305.192,0.999246,50000000.0
2017-02-03,1367189.951,48351245.35,0.999,49718435.301,0.994369,50000000.0
2017-02-06,1348228.686,48593295.29,0.994,49941523.976,0.99883,50000000.0
2017-02-07,1348228.686,48506077.84,0.999,49854306.526,0.997086,50000000.0
2017-02-08,1348228.686,48827862.39,0.997,50176091.076,1.003522,50000000.0
2017-02-09,1348228.686,49037058.77,1.004,50385287.456,1.007706,50000000.0
2017-02-10,1348228.686,49266368.15,1.008,50614596.836,1.012292,50000000.0
2017-02-13,1418501.277,49514009.45,1.012,50932510.727,1.01865,50000000.0
2017-02-14,1418501.277,49580844.99,1.019,50999346.267,1.019987,50000000.0
2017-02-15,1418501.277,49203547.41,1.02,50622048.687,1.012441,50000000.0
2017-02-16,1418501.277,49531663.9,1.012,50950165.177,1.019003,50000000.0
2017-02-17,1418501.277,49209490.03,1.019,50627991.307,1.01256,50000000.0
2017-02-20,1404290.291,49913666.32,1.013,51317956.611,1.026359,50000000.0
2017-02-21,1404290.291,50220623.27,1.026,51624913.561,1.032498,50000000.0
2017-02-22,1404290.291,50352764.74,1.032,51757055.031,1.035141,50000000.0
2017-02-23,1404290.291,50121507.55,1.035,51525797.841,1.030516,50000000.0
2017-02-24,1404290.291,50191297.76,1.031,51595588.051,1.031912,50000000.0
2017-02-27,1436940.928,49771766.87,1.032,51208707.798,1.024174,50000000.0
2017-02-28,1436940.928,49950678.28,1.024,51387619.208,1.027752,50000000.0
2017-03-01,1436940.928,50074601.94,1.028,51511542.868,1.030231,50000000.0
2017-03-02,1436940.928,49736153.81,1.03,51173094.738,1.023462,50000000.0
2017-03-03,1436940.928,49651639.6,1.023,51088580.528,1.021772,50000000.0
2017-03-06,1512096.595,49952685.79,1.022,51464782.385,1.029296,50000000.0
2017-03-07,1512096.595,50011646.24,1.029,51523742.835,1.030475,50000000.0
2017-03-08,1512096.595,49841087.45,1.03,51353184.045,1.027064,50000000.0
2017-03-09,1512096.595,49471923.28,1.027,50984019.875,1.01968,50000000.0
2017-03-10,1512096.595,49473353.12,1.02,50985449.715,1.019709,50000000.0
2017-03-13,1350956.707,50139196.49,1.02,51490153.197,1.029803,50000000.0
2017-03-14,1350956.707,50048299.44,1.03,51399256.147,1.027985,50000000.0
2017-03-15,1353213.907,50118269.52,1.028,51471483.427,1.02943,50000000.0
2017-03-16,1353213.907,50474507.89,1.029,51827721.797,1.036554,50000000.0
2017-03-17,1353213.907,49901603.6,1.037,51254817.507,1.025096,50000000.0
2017-03-20,1401570.355,49909379.62,1.025,51310949.975,1.026219,50000000.0
2017-03-21,1401570.355,50061598.44,1.026,51463168.795,1.029263,50000000.0
2017-03-22,1401570.355,49818063.81,1.029,51219634.165,1.024393,50000000.0
2017-03-23,1401570.355,49939811.0,1.024,51341381.355,1.026828,50000000.0
2017-03-24,1401570.355,50328461.62,1.027,51730031.975,1.034601,50000000.0
2017-03-27,1433413.362,50134565.24,1.035,51567978.602,1.03136,50000000.0
2017-03-28,1433413.362,50007696.07,1.031,51441109.432,1.028822,50000000.0
2017-03-29,1436996.682,49924477.05,1.029,51361473.732,1.027229,50000000.0
2017-03-30,1436996.682,49353490.08,1.027,50790486.762,1.01581,50000000.0
2017-03-31,1436996.682,49576542.77,1.016,51013539.452,1.020271,50000000.0
2017-04-05,1054017.884,50898850.88,1.02,51952868.764,1.039057,50000000.0
2017-04-06,1054017.884,51055025.97,1.039,52109043.854,1.042181,50000000.0
2017-04-07,1058035.144,51208921.72,1.042,52266956.864,1.045339,50000000.0
2017-04-10,1127069.271,51016257.44,1.045,52143326.711,1.042867,50000000.0
2017-04-11,1134098.571,51410645.17,1.043,52544743.741,1.050895,50000000.0
2017-04-12,1134098.571,51235001.59,1.051,52369100.161,1.047382,50000000.0
2017-04-13,1134098.571,51389217.26,1.047,52523315.831,1.050466,50000000.0
2017-04-14,1134098.571,50904086.39,1.05,52038184.961,1.040764,50000000.0
2017-04-17,929030.208,50774508.79,1.041,51703538.998,1.034071,50000000.0
2017-04-18,930298.118,50416537.623,1.034,51346835.741,1.026937,50000000.0
2017-04-19,931680.038,50053602.364,1.027,50985282.402,1.019706,50000000.0
2017-04-20,931680.038,50181237.733,1.02,51112917.771,1.022258,50000000.0
2017-04-21,932206.638,50153255.007,1.022,51085461.645,1.021709,50000000.0
2017-04-24,995777.303,49341765.828,1.022,50337543.131,1.006751,50000000.0
