date,cash,dividend_receivable,market_value,total_value,transaction_cost
2017-01-03,1933926.303,0.0,47931788.0,49865714.303,38422.121
2017-01-04,1933926.303,0.0,48361162.0,50295088.303,0.0
2017-01-05,1933926.303,0.0,48376581.0,50310507.303,0.0
2017-01-06,1933926.303,0.0,48099037.0,50032963.303,0.0
2017-01-09,1933926.303,0.0,48393345.0,50327271.303,0.0
2017-01-10,1933926.303,0.0,48281623.0,50215549.303,0.0
2017-01-11,1933926.303,0.0,47870765.0,49804691.303,0.0
2017-01-12,1933926.303,0.0,47496523.0,49430449.303,0.0
2017-01-13,1933926.303,0.0,47271091.0,49205017.303,0.0
2017-01-16,1933926.303,0.0,46893957.0,48827883.303,0.0
2017-01-17,1933926.303,0.0,47080178.0,49014104.303,0.0
2017-01-18,1933926.303,0.0,47129622.0,49063548.303,0.0
2017-01-19,1933926.303,0.0,47006493.0,48940419.303,0.0
2017-01-20,1933926.303,0.0,47458672.0,49392598.303,0.0
2017-01-23,1933926.303,0.0,47693208.0,49627134.303,0.0
2017-01-24,1933926.303,0.0,47634671.0,49568597.303,0.0
2017-01-25,1933926.303,0.0,47806232.0,49740158.303,0.0
2017-01-26,1933926.303,0.0,48030469.0,49964395.303,0.0
2017-02-03,1355987.775,0.0,48355860.79,49711848.565,3176.49
2017-02-06,1355987.775,0.0,48580659.54,49936647.315,0.0
2017-02-07,1355987.775,0.0,48493182.04,49849169.815,0.0
2017-02-08,1355987.775,0.0,48815033.9,50171021.675,0.0
2017-02-09,1355987.775,0.0,49024352.37,50380340.145,0.0
2017-02-10,1355987.775,0.0,49252263.7,50608251.475,0.0
2017-02-13,1355987.775,0.0,49571971.92,50927959.695,0.0
2017-02-14,1355987.775,0.0,49641777.1,50997764.875,0.0
2017-02-15,1355987.775,0.0,49260928.6,50616916.375,0.0
2017-02-16,1355987.775,0.0,49592536.46,50948524.235,0.0
2017-02-17,1355987.775,0.0,49267577.74,50623565.515,0.0
2017-02-20,1355987.775,0.0,49965019.08,51321006.855,0.0
2017-02-21,1355987.775,0.0,50269554.96,51625542.735,0.0
2017-02-22,1355987.775,0.0,50402880.87,51758868.645,0.0
2017-02-23,1355987.775,0.0,50168812.35,51524800.125,0.0
2017-02-24,1355987.775,0.0,50234279.55,51590267.325,0.0
2017-02-27,1355987.775,0.0,49847622.12,51203609.895,0.0
2017-02-28,1355987.775,0.0,50032138.87,51388126.645,0.0
2017-03-01,1428263.022,0.0,50077142.8,51505405.822,2463.35
2017-03-02,1428263.022,0.0,49739173.79,51167436.812,0.0
2017-03-03,1428263.022,0.0,49654342.84,51082605.862,0.0
2017-03-06,1432165.422,0.0,50031362.83,51463528.252,0.0
2017-03-07,1432165.422,0.0,50079467.962,51511633.384,0.0
2017-03-08,1432165.422,0.0,49910141.922,51342307.344,0.0
2017-03-09,1432165.422,0.0,49539951.698,50972117.12,0.0
2017-03-10,1432165.422,0.0,49553215.676,50985381.098,0.0
2017-03-13,1432165.422,0.0,50060996.812,51493162.234,0.0
2017-03-14,1432165.422,0.0,49967857.614,51400023.036,0.0
2017-03-15,1434325.422,0.0,50037231.488,51471556.91,0.0
2017-03-16,1434325.422,0.0,50390980.234,51825305.656,0.0
2017-03-17,1434325.422,0.0,49818953.506,51253278.928,0.0
2017-03-20,1434325.422,0.0,49877497.404,51311822.826,0.0
2017-03-21,1434325.422,0.0,50040732.804,51475058.226,0.0
2017-03-22,1434325.422,0.0,49803880.9,51238206.322,0.0
2017-03-23,1434325.422,0.0,49926631.75,51360957.172,0.0
2017-03-24,1434325.422,0.0,50314102.714,51748428.136,0.0
2017-03-27,1434325.422,0.0,50149143.524,51583468.946,0.0
2017-03-28,1434325.422,0.0,50019175.898,51453501.32,0.0
2017-03-29,1437804.222,0.0,49936558.648,51374362.87,0.0
2017-03-30,1437804.222,0.0,49370824.86,50808629.082,0.0
