date,cash,dividend_receivable,market_value,total_value,transaction_cost
2017-01-03,1035377.963,0.0,48827826.0,49863203.963,39140.385
2017-01-04,1035377.963,0.0,49126130.0,50161507.963,0.0
2017-01-05,1035377.963,0.0,49191891.0,50227268.963,0.0
2017-01-06,1035377.963,0.0,48910636.0,49946013.963,0.0
2017-01-09,1029750.399,0.0,49175239.07,50204989.469,836.288
2017-01-10,1029750.399,0.0,49033291.65,50063042.049,0.0
2017-01-11,1029750.399,0.0,48688669.3,49718419.699,0.0
2017-01-12,1029750.399,0.0,48494361.22,49524111.619,0.0
2017-01-13,1029750.399,0.0,48705530.62,49735281.019,0.0
2017-01-16,1019189.791,0.0,49295509.3,50314699.091,952.394
2017-01-17,1019189.791,0.0,49118000.01,50137189.801,0.0
2017-01-18,1019189.791,0.0,49333214.17,50352403.961,0.0
2017-01-19,1019189.791,0.0,49130362.94,50149552.731,0.0
2017-01-20,1019189.791,0.0,49424120.91,50443310.701,0.0
2017-01-23,1014757.102,0.0,49486561.23,50501318.332,844.293
2017-01-24,1014757.102,0.0,49538893.68,50553650.782,0.0
2017-01-25,1014757.102,0.0,49664217.04,50678974.142,0.0
2017-01-26,1014757.102,0.0,49773303.96,50788061.062,0.0
2017-02-03,1035976.906,0.0,49347921.75,50383898.656,701.782
2017-02-06,1028595.291,0.0,49449252.75,50477848.041,465.778
2017-02-07,1028595.291,0.0,49314818.59,50343413.881,0.0
2017-02-08,1028595.291,0.0,49627046.77,50655642.061,0.0
2017-02-09,1028595.291,0.0,49853917.84,50882513.131,0.0
2017-02-10,1028595.291,0.0,50144248.03,51172843.321,0.0
2017-02-13,1079870.838,0.0,50332305.68,51412176.518,1049.509
2017-02-14,1079870.838,0.0,50309180.99,51389051.828,0.0
2017-02-15,1079870.838,0.0,50119174.03,51199044.868,0.0
2017-02-16,1079870.838,0.0,50327184.78,51407055.618,0.0
2017-02-17,1079870.838,0.0,49978934.82,51058805.658,0.0
2017-02-20,1016656.25,0.0,50618398.63,51635054.88,716.53
2017-02-21,1016656.25,0.0,50721985.68,51738641.93,0.0
2017-02-22,1016656.25,0.0,50723024.98,51739681.23,0.0
2017-02-23,1016656.25,0.0,50422397.21,51439053.46,0.0
2017-02-24,1016656.25,0.0,50535252.07,51551908.32,0.0
2017-02-27,1036440.919,0.0,50044546.31,51080987.229,775.494
2017-02-28,1036440.919,0.0,50128641.45,51165082.369,0.0
2017-03-01,1036440.919,0.0,50187900.13,51224341.049,0.0
2017-03-02,1036440.919,0.0,49855826.38,50892267.299,0.0
2017-03-03,1036440.919,0.0,49602417.61,50638858.529,0.0
2017-03-06,1028697.952,0.0,49744857.81,50773555.762,580.808
2017-03-07,1028697.952,0.0,49819059.33,50847757.282,0.0
2017-03-08,1028697.952,0.0,49846519.93,50875217.882,0.0
2017-03-09,1028697.952,0.0,49599203.28,50627901.232,0.0
2017-03-10,1028697.952,0.0,49411760.39,50440458.342,0.0
2017-03-13,1041573.271,0.0,49713372.5,50754945.771,899.434
2017-03-14,1041573.271,0.0,49718643.61,50760216.881,0.0
2017-03-15,1041573.271,0.0,49802351.96,50843925.231,0.0
2017-03-16,1041573.271,0.0,50173979.06,51215552.331,0.0
2017-03-17,1041573.271,0.0,49657377.22,50698950.491,0.0
2017-03-20,1032928.457,0.0,49816730.82,50849659.277,582.998
2017-03-21,1032928.457,0.0,49961134.62,50994063.077,0.0
2017-03-22,1032928.457,0.0,49600263.83,50633192.287,0.0
2017-03-23,1032928.457,0.0,49757140.54,50790068.997,0.0
2017-03-24,1032928.457,0.0,50146506.69,51179435.147,0.0
2017-03-27,1058602.59,0.0,50040730.7,51099333.29,1786.243
2017-03-28,1058602.59,0.0,49811308.95,50869911.54,0.0
2017-03-29,1079838.09,0.0,49725989.68,50805827.77,0.0
2017-03-30,1079838.09,0.0,49568937.68,50648775.77,0.0
2017-03-31,1079838.09,0.0,49763503.05,50843341.14,0.0
2017-04-05,1054768.161,0.0,50443358.81,51498126.971,1193.287
2017-04-06,1054768.161,0.0,50573230.98,51627999.141,0.0
2017-04-07,1054768.161,0.0,50658527.27,51713295.431,0.0
2017-04-10,1099333.137,0.0,50422358.23,51521691.367,1200.228
2017-04-11,1099333.137,0.0,50621903.57,51721236.707,0.0
2017-04-12,1099333.137,0.0,50583030.72,51682363.857,0.0
2017-04-13,1099333.137,0.0,50342018.67,51441351.807,0.0
2017-04-14,1099333.137,0.0,50055411.29,51154744.427,0.0
2017-04-17,1072261.668,0.0,50057400.49,51129662.158,943.606
2017-04-18,1072261.668,0.0,49559387.99,50631649.658,0.0
2017-04-19,1072261.668,0.0,49288606.38,50360868.048,0.0
2017-04-20,1072261.668,0.0,49470245.9,50542507.568,0.0
2017-04-21,1072261.668,0.0,49719546.73,50791808.398,0.0
2017-04-24,1062047.175,0.0,49553624.81,50615671.985,1240.717
2017-04-25,1062047.175,0.0,49437523.26,50499570.435,0.0
2017-04-26,1062047.175,0.0,49320081.17,50382128.345,0.0
2017-04-27,1062047.175,0.0,49452504.49,50514551.665,0.0
2017-04-28,1066049.989,0.0,49406495.54,50472545.529,0.0
2017-05-02,1066060.333,0.0,49227174.58,50293234.913,1674.334
2017-05-03,1066060.333,0.0,49089443.23,50155503.563,0.0
2017-05-04,1066060.333,0.0,48995979.94,50062040.273,0.0
2017-05-05,1066060.333,0.0,48874858.29,49940918.623,0.0
2017-05-08,1024657.124,0.0,49011290.86,50035947.984,1041.203
2017-05-09,1057337.324,0.0,48760961.04,49818298.364,0.0
2017-05-10,1057337.324,0.0,48617411.59,49674748.914,0.0
2017-05-11,1057337.324,0.0,48886843.47,49944180.794,0.0
2017-05-12,1057337.324,0.0,49381146.24,50438483.564,0.0
2017-05-15,1087976.714,0.0,49439646.08,50527622.794,1745.126
2017-05-16,1087976.714,0.0,49458487.87,50546464.584,0.0
2017-05-17,1092345.514,0.0,49179447.96,50271793.474,0.0
2017-05-18,1092345.514,0.0,48835327.0,49927672.514,0.0
2017-05-19,1092345.514,0.0,48790108.82,49882454.334,0.0
2017-05-22,1044247.141,0.0,48979421.84,50023668.981,1539.166
2017-05-23,1044247.141,0.0,49364282.81,50408529.951,0.0
2017-05-24,1044247.141,0.0,49290837.88,50335085.021,0.0
2017-05-25,1057530.341,0.0,50390021.584,51447551.925,0.0
2017-05-26,1057530.341,0.0,50418143.252,51475673.593,0.0
2017-05-31,1225121.54,0.0,50523675.362,51748796.902,1570.361
2017-06-01,1225121.54,0.0,50685716.716,51910838.256,0.0
2017-06-02,1225121.54,0.0,50345612.382,51570733.922,0.0
