date,cash,market_value,static_unit_net_value,total_value,unit_net_value,units
2017-01-03,3559524.856,46310731.0,1.0,49870255.856,0.997405,50000000.0
2017-01-04,3559524.856,46861128.0,0.997,50420652.856,1.008413,50000000.0
2017-01-05,3559524.856,46895897.0,1.008,50455421.856,1.009108,50000000.0
2017-01-06,3559524.856,46705296.0,1.009,50264820.856,1.005296,50000000.0
2017-01-09,2979883.382,47639625.24,1.005,50619508.622,1.01239,50000000.0
2017-01-10,2979883.382,47495831.78,1.012,50475715.162,1.009514,50000000.0
2017-01-11,2979883.382,46985405.11,1.01,49965288.492,0.999306,50000000.0
2017-01-12,2979883.382,46538051.89,0.999,49517935.272,0.990359,50000000.0
2017-01-13,2979883.382,45878856.87,0.99,48858740.252,0.977175,50000000.0
2017-01-16,2635945.978,44810018.68,0.977,47445964.658,0.948919,50000000.0
2017-01-17,2635945.978,45227588.87,0.949,47863534.848,0.957271,50000000.0
2017-01-18,2635945.978,45156910.14,0.957,47792856.118,0.955857,50000000.0
2017-01-19,2635945.978,44981212.51,0.956,47617158.488,0.952343,50000000.0
2017-01-20,2635945.978,45615812.77,0.952,48251758.748,0.965035,50000000.0
2017-01-23,2425791.448,46229975.75,0.965,48655767.198,0.973115,50000000.0
2017-01-24,2425791.448,46158753.19,0.973,48584544.638,0.971691,50000000.0
2017-01-25,2425791.448,46260968.87,0.972,48686760.318,0.973735,50000000.0
2017-01-26,2425791.448,46594151.86,0.974,49019943.308,0.980399,50000000.0
2017-02-03,2463471.783,46417655.63,0.98,48881127.413,0.977623,50000000.0
2017-02-06,2446326.899,46855682.75,0.978,49302009.649,0.98604,50000000.0
2017-02-07,2446326.899,46833759.13,0.986,49280086.029,0.985602,50000000.0
2017-02-08,2446326.899,47132489.41,0.986,49578816.309,0.991576,50000000.0
2017-02-09,2446326.899,47504282.5,0.992,49950609.399,0.999012,50000000.0
2017-02-10,2446326.899,47575895.44,0.999,50022222.339,1.000444,50000000.0
2017-02-13,2490180.22,47801774.45,1.0,50291954.67,1.005839,50000000.0
2017-02-14,2490180.22,47842628.17,1.006,50332808.39,1.006656,50000000.0
2017-02-15,2490180.22,47354740.91,1.007,49844921.13,0.996898,50000000.0
2017-02-16,2490180.22,47745409.85,0.997,50235590.07,1.004712,50000000.0
2017-02-17,2490180.22,47336191.67,1.005,49826371.89,0.996527,50000000.0
2017-02-20,2259893.123,48180716.1,0.997,50440609.223,1.008812,50000000.0
2017-02-21,2259893.123,48582773.66,1.009,50842666.783,1.016853,50000000.0
2017-02-22,2259893.123,48897254.07,1.017,51157147.193,1.023143,50000000.0
2017-02-23,2259893.123,48854626.37,1.023,51114519.493,1.02229,50000000.0
2017-02-24,2259893.123,48896859.41,1.022,51156752.533,1.023135,50000000.0
2017-02-27,2103094.574,48622513.9,1.023,50725608.474,1.014512,50000000.0
2017-02-28,2103094.574,48840434.57,1.015,50943529.144,1.018871,50000000.0
2017-03-01,2103094.574,48973911.1,1.019,51077005.674,1.02154,50000000.0
2017-03-02,2103094.574,48713838.33,1.022,50816932.904,1.016339,50000000.0
2017-03-03,2105114.674,48834551.23,1.016,50939665.904,1.018793,50000000.0
2017-03-06,2080055.497,49362388.73,1.019,51442444.227,1.028849,50000000.0
2017-03-07,2080055.497,49399706.08,1.029,51479761.577,1.029595,50000000.0
2017-03-08,2080055.497,49195011.31,1.03,51275066.807,1.025501,50000000.0
2017-03-09,2080055.497,48731730.38,1.026,50811785.877,1.016236,50000000.0
2017-03-10,2080055.497,48771002.1,1.016,50851057.597,1.017021,50000000.0
2017-03-13,2075454.722,49231529.46,1.017,51306984.182,1.02614,50000000.0
2017-03-14,2075454.722,49094586.23,1.026,51170040.952,1.023401,50000000.0
2017-03-15,2075454.722,49033179.37,1.023,51108634.092,1.022173,50000000.0
2017-03-16,2075454.722,49501741.49,1.022,51577196.212,1.031544,50000000.0
