date,cash,dividend_receivable,market_value,total_value,transaction_cost
2017-01-03,3559524.856,0.0,46310731.0,49870255.856,37122.682
2017-01-04,3559524.856,0.0,46861128.0,50420652.856,0.0
2017-01-05,3559524.856,0.0,46895897.0,50455421.856,0.0
2017-01-06,3559524.856,0.0,46705296.0,50264820.856,0.0
2017-01-09,2979883.382,0.0,47639625.24,50619508.622,2352.294
2017-01-10,2979883.382,0.0,47495831.78,50475715.162,0.0
2017-01-11,2979883.382,0.0,46985405.11,49965288.492,0.0
2017-01-12,2979883.382,0.0,46538051.89,49517935.272,0.0
2017-01-13,2979883.382,0.0,45878856.87,48858740.252,0.0
2017-01-16,2635945.978,0.0,44810018.68,47445964.658,2462.099
2017-01-17,2635945.978,0.0,45227588.87,47863534.848,0.0
2017-01-18,2635945.978,0.0,45156910.14,47792856.118,0.0
2017-01-19,2635945.978,0.0,44981212.51,47617158.488,0.0
2017-01-20,2635945.978,0.0,45615812.77,48251758.748,0.0
2017-01-23,2425791.448,0.0,46229975.75,48655767.198,2585.829
2017-01-24,2425791.448,0.0,46158753.19,48584544.638,0.0
2017-01-25,2425791.448,0.0,46260968.87,48686760.318,0.0
2017-01-26,2425791.448,0.0,46594151.86,49019943.308,0.0
2017-02-03,2463471.783,0.0,46417655.63,48881127.413,2163.737
2017-02-06,2446326.899,0.0,46855682.75,49302009.649,1375.649
2017-02-07,2446326.899,0.0,46833759.13,49280086.029,0.0
2017-02-08,2446326.899,0.0,47132489.41,49578816.309,0.0
2017-02-09,2446326.899,0.0,47504282.5,49950609.399,0.0
2017-02-10,2446326.899,0.0,47575895.44,50022222.339,0.0
2017-02-13,2490180.22,0.0,47801774.45,50291954.67,2257.504
2017-02-14,2490180.22,0.0,47842628.17,50332808.39,0.0
2017-02-15,2490180.22,0.0,47354740.91,49844921.13,0.0
2017-02-16,2490180.22,0.0,47745409.85,50235590.07,0.0
2017-02-17,2490180.22,0.0,47336191.67,49826371.89,0.0
2017-02-20,2259893.123,0.0,48180716.1,50440609.223,2315.881
2017-02-21,2259893.123,0.0,48582773.66,50842666.783,0.0
2017-02-22,2259893.123,0.0,48897254.07,51157147.193,0.0
2017-02-23,2259893.123,0.0,48854626.37,51114519.493,0.0
2017-02-24,2259893.123,0.0,48896859.41,51156752.533,0.0
2017-02-27,2103094.574,0.0,48622513.9,50725608.474,2405.684
2017-02-28,2103094.574,0.0,48840434.57,50943529.144,0.0
2017-03-01,2103094.574,0.0,48973911.1,51077005.674,0.0
2017-03-02,2103094.574,0.0,48713838.33,50816932.904,0.0
2017-03-03,2105114.674,0.0,48834551.23,50939665.904,0.0
2017-03-06,2080055.497,0.0,49362388.73,51442444.227,2248.782
2017-03-07,2080055.497,0.0,49399706.08,51479761.577,0.0
2017-03-08,2080055.497,0.0,49195011.31,51275066.807,0.0
2017-03-09,2080055.497,0.0,48731730.38,50811785.877,0.0
2017-03-10,2080055.497,0.0,48771002.1,50851057.597,0.0
2017-03-13,2075454.722,0.0,49231529.46,51306984.182,2337.417
2017-03-14,2075454.722,0.0,49094586.23,51170040.952,0.0
2017-03-15,2075454.722,0.0,49033179.37,51108634.092,0.0
2017-03-16,2075454.722,0.0,49501741.49,51577196.212,0.0
2017-03-17,2075454.722,0.0,49056898.64,51132353.362,0.0
2017-03-20,2100428.252,0.0,49179160.84,51279589.092,2008.766
2017-03-21,2100428.252,0.0,49254628.29,51355056.542,0.0
2017-03-22,2100428.252,0.0,49067496.58,51167924.832,0.0
2017-03-23,2100428.252,0.0,49150775.3,51251203.552,0.0
2017-03-24,2100428.252,0.0,49396598.62,51497026.872,0.0
2017-03-27,1853903.157,0.0,49436809.72,51290712.877,3089.043
2017-03-28,1853903.157,0.0,49295466.6,51149369.757,0.0
2017-03-29,1853903.157,0.0,49112475.31,50966378.467,0.0
2017-03-30,1853903.157,0.0,48257224.64,50111127.797,0.0
2017-03-31,1853903.157,0.0,48410484.97,50264388.127,0.0
2017-04-05,1761477.135,0.0,49599108.06,51360585.195,2508.52
2017-04-06,1761477.135,0.0,49763103.5,51524580.635,0.0
2017-04-07,1761477.135,0.0,49902954.52,51664431.655,0.0
2017-04-10,1857141.816,0.0,49681821.22,51538963.036,2528.734
2017-04-11,1857141.816,0.0,50193044.73,52050186.546,0.0
2017-04-12,1857141.816,0.0,49782451.31,51639593.126,0.0
2017-04-13,1864753.916,0.0,50091206.89,51955960.806,0.0
2017-04-14,1865441.916,0.0,49389580.25,51255022.166,0.0
2017-04-17,1385131.199,0.0,49271675.46,50656806.659,2732.977
2017-04-18,1385131.199,0.0,48942735.44,50327866.639,0.0
2017-04-19,1387116.527,0.0,48368688.35,49755804.877,0.0
2017-04-20,1387116.527,0.0,48329953.49,49717070.017,0.0
2017-04-21,1388683.41,0.0,48006435.64,49395119.05,0.0
2017-04-24,1247290.96,0.0,46800871.24,48048162.2,3134.328
2017-04-25,1247290.96,0.0,46933544.39,48180835.35,0.0
2017-04-26,1247839.88,0.0,47037547.5,48285387.38,0.0
2017-04-27,1256635.67,0.0,47169954.52,48426590.19,0.0
2017-04-28,1259294.67,0.0,47350819.88,48610114.55,0.0
2017-05-02,974525.549,0.0,47621115.64,48595641.189,3120.734
2017-05-03,974525.549,0.0,47535358.51,48509884.059,0.0
2017-05-04,974525.549,0.0,47380335.88,48354861.429,0.0
2017-05-05,975778.049,0.0,46717432.34,47693210.389,0.0
2017-05-08,808954.195,0.0,46019857.85,46828812.045,2469.804
2017-05-09,808954.195,0.0,46347211.61,47156165.805,0.0
2017-05-10,812556.145,0.0,45314975.766,46127531.911,0.0
2017-05-11,816922.905,0.0,45075262.028,45892184.933,0.0
2017-05-12,824221.151,0.0,44965954.439,45790175.59,0.0
2017-05-15,548009.425,0.0,45462537.729,46010547.154,3024.464
2017-05-16,551296.785,0.0,46413049.792,46964346.577,0.0
2017-05-17,554157.762,0.0,46549635.334,47103793.096,0.0
2017-05-18,559209.41,0.0,46176684.806,46735894.216,0.0
2017-05-19,565141.859,0.0,46201708.439,46766850.298,0.0
2017-05-22,611760.006,0.0,45418549.973,46030309.979,2534.379
2017-05-23,611760.006,0.0,44328995.532,44940755.538,0.0
2017-05-24,617699.606,0.0,44625156.484,45242856.09,0.0
2017-05-25,622519.631,0.0,45120253.494,45742773.125,0.0
2017-05-26,640880.081,0.0,45060027.479,45700907.56,0.0
2017-05-31,414989.995,0.0,45204264.653,45619254.648,2798.877
2017-06-01,417802.095,0.0,44196613.638,44614415.733,0.0
2017-06-02,424998.795,0.0,44741524.564,45166523.359,0.0
2017-06-05,373678.08,0.0,45145054.854,45518732.934,2384.479
2017-06-06,377724.904,0.0,45361131.229,45738856.133,0.0
2017-06-07,384819.91,0.0,46265982.959,46650802.869,0.0
2017-06-08,406806.195,0.0,46254215.004,46661021.199,0.0
2017-06-09,412826.502,0.0,46341050.576,46753877.078,0.0
2017-06-12,451714.614,0.0,45724016.127,46175730.741,2266.327
2017-06-13,454326.571,0.0,46322576.521,46776903.092,0.0
2017-06-14,458601.211,0.0,46236308.689,46694909.9,0.0
2017-06-15,470265.017,0.0,46689869.778,47160134.795,0.0
2017-06-16,489596.472,0.0,46606448.724,47096045.196,0.0
2017-06-19,550006.001,0.0,46896568.726,47446574.728,2409.349
2017-06-20,556324.415,0.0,46943905.29,47500229.706,0.0
2017-06-21,560970.181,0.0,47011092.518,47572062.699,0.0
2017-06-22,567859.464,0.0,46333862.936,46901722.4,0.0
2017-06-23,570415.278,0.0,46422756.449,46993171.727,0.0
2017-06-26,464672.586,0.0,47246386.614,47711059.201,2370.642
2017-06-27,467719.429,0.0,47293872.277,47761591.707,0.0
2017-06-28,472769.201,0.0,47082539.587,47555308.789,0.0
2017-06-29,483890.541,0.0,47328678.075,47812568.616,0.0
2017-06-30,489265.941,0.0,47433787.11,47923053.051,0.0
2017-07-03,525951.001,0.0,47748331.475,48274282.476,2357.472
2017-07-04,527270.061,0.0,47567740.088,48095010.149,0.0
2017-07-05,533662.913,0.0,47911221.866,48444884.779,0.0
2017-07-06,541377.767,0.0,47933684.231,48475061.997,0.0
2017-07-07,545953.371,0.0,48133359.421,48679312.793,0.0
2017-07-10,518838.697,0.0,48095752.726,48614591.423,2876.539
2017-07-11,522258.378,0.0,47537955.778,48060214.155,0.0
2017-07-12,526027.099,0.0,47481395.198,48007422.297,0.0
2017-07-13,532787.901,0.0,47665850.491,48198638.392,0.0
2017-07-14,547385.011,0.0,47485423.188,48032808.198,0.0
2017-07-17,470149.367,0.0,45470970.461,45941119.828,2575.327
2017-07-18,474829.313,0.0,45940339.258,46415168.571,0.0
2017-07-19,477750.348,0.0,46796510.914,47274261.263,0.0
2017-07-20,479087.164,0.0,47084610.337,47563697.502,0.0
2017-07-21,485223.628,0.0,47251844.14,47737067.768,0.0
2017-07-24,501158.82,0.0,47594762.688,48095921.508,3214.168
2017-07-25,503045.72,0.0,47440298.39,47943344.11,0.0
2017-07-26,505176.47,0.0,47408983.207,47914159.677,0.0
2017-07-27,507461.929,0.0,47793880.649,48301342.578,0.0
2017-07-28,510271.769,0.0,47934421.673,48444693.442,0.0
2017-07-31,497533.36,0.0,48506085.877,49003619.237,2467.479
2017-08-01,498901.541,0.0,48424378.373,48923279.914,0.0
2017-08-02,498901.541,0.0,48096934.851,48595836.392,0.0
2017-08-03,498901.541,0.0,48247738.487,48746640.028,0.0
2017-08-04,500633.061,0.0,48062919.955,48563553.016,0.0
2017-08-07,555316.533,0.0,48563158.037,49118474.57,2693.616
2017-08-08,555316.533,0.0,48596816.346,49152132.879,0.0
2017-08-09,556485.883,0.0,48883295.465,49439781.348,0.0
2017-08-10,557978.208,0.0,48508283.539,49066261.747,0.0
2017-08-11,557978.208,0.0,47558864.067,48116842.275,0.0
2017-08-14,478978.04,0.0,48542207.306,49021185.347,2550.76
2017-08-15,481050.6,0.0,48672355.832,49153406.433,0.0
2017-08-16,481609.275,0.0,48822184.402,49303793.677,0.0
2017-08-17,481609.275,0.0,49259148.37,49740757.645,0.0
2017-08-18,481609.275,0.0,49175022.914,49656632.189,0.0
2017-08-21,447292.371,0.0,49607059.246,50054351.617,2760.072
2017-08-22,447536.001,0.0,49309392.337,49756928.339,0.0
2017-08-23,447536.001,0.0,48932818.345,49380354.347,0.0
2017-08-24,447536.001,0.0,48568551.346,49016087.348,0.0
2017-08-25,448071.441,0.0,49095493.631,49543565.072,0.0
2017-08-28,453474.524,0.0,49588560.444,50042034.968,2129.669
2017-08-29,453474.524,0.0,49457139.286,49910613.81,0.0
2017-08-30,453474.524,0.0,49759832.807,50213307.331,0.0
2017-08-31,454724.324,0.0,49861834.466,50316558.79,0.0
2017-09-01,457255.472,0.0,50216720.015,50673975.487,0.0
2017-09-04,535336.128,0.0,50427651.8,50962987.928,2724.429
2017-09-05,535336.128,0.0,50433321.052,50968657.18,0.0
2017-09-06,535336.128,0.0,50678204.326,51213540.454,0.0
2017-09-07,535336.128,0.0,50368420.115,50903756.243,0.0
2017-09-08,535336.128,0.0,50500360.807,51035696.935,0.0
2017-09-11,511944.396,0.0,50984694.143,51496638.539,2672.269
2017-09-12,511944.396,0.0,50965496.719,51477441.114,0.0
2017-09-13,511944.396,0.0,51260697.713,51772642.109,0.0
2017-09-14,511944.396,0.0,51235140.065,51747084.46,0.0
2017-09-15,511944.396,0.0,50947100.868,51459045.264,0.0
2017-09-18,499227.078,0.0,51307573.098,51806800.176,2806.045
2017-09-19,499227.078,0.0,51082974.063,51582201.141,0.0
2017-09-20,499227.078,0.0,51506965.856,52006192.934,0.0
2017-09-21,500019.378,0.0,50973116.672,51473136.05,0.0
2017-09-22,500019.378,0.0,50709311.749,51209331.127,0.0
2017-09-25,492158.343,0.0,50043717.906,50535876.25,2585.617
2017-09-26,493883.093,0.0,50234169.623,50728052.716,0.0
2017-09-27,493883.093,0.0,50607315.403,51101198.496,0.0
2017-09-28,493883.093,0.0,50474574.071,50968457.165,0.0
2017-09-29,494619.393,0.0,50790853.448,51285472.841,0.0
2017-10-09,416892.902,0.0,51471072.328,51887965.23,2627.378
2017-10-10,416892.902,0.0,51803240.305,52220133.207,0.0
2017-10-11,416892.902,0.0,51566956.651,51983849.553,0.0
2017-10-12,416892.902,0.0,51471771.095,51888663.997,0.0
2017-10-13,419402.325,0.0,51776447.57,52195849.896,0.0
2017-10-16,382458.869,0.0,51002703.351,51385162.221,2851.963
2017-10-17,382458.869,0.0,50963397.853,51345856.722,0.0
2017-10-18,382458.869,0.0,50557963.469,50940422.338,0.0
2017-10-19,382458.869,0.0,50022647.71,50405106.58,0.0
2017-10-20,382458.869,0.0,50512986.629,50895445.499,0.0
2017-10-23,366168.687,0.0,50780112.867,51146281.554,2504.167
2017-10-24,366201.957,0.0,50616456.166,50982658.124,0.0
