date,cash,market_value,static_unit_net_value,total_value,unit_net_value,units
2017-01-03,391906.249,49469500.0,1.0,49861406.249,0.997228,50000000.0
2017-01-04,391906.249,49913850.0,0.997,50305756.249,1.006115,50000000.0
2017-01-05,391906.249,49929190.0,1.006,50321096.249,1.006422,50000000.0
2017-01-06,391906.249,49643122.0,1.006,50035028.249,1.000701,50000000.0
2017-01-09,391906.249,49946333.0,1.001,50338239.249,1.006765,50000000.0
2017-01-10,391906.249,49831002.0,1.007,50222908.249,1.004458,50000000.0
2017-01-11,391906.249,49406840.0,1.004,49798746.249,0.995975,50000000.0
2017-01-12,391906.249,49021057.0,0.996,49412963.249,0.988259,50000000.0
2017-01-13,391906.249,48788106.0,0.988,49180012.249,0.9836,50000000.0
2017-01-16,391906.249,48398983.0,0.984,48790889.249,0.975818,50000000.0
2017-01-17,391906.249,48591821.0,0.976,48983727.249,0.979675,50000000.0
2017-01-18,391906.249,48643032.0,0.98,49034938.249,0.980699,50000000.0
2017-01-19,391906.249,48515989.0,0.981,48907895.249,0.978158,50000000.0
2017-01-20,391906.249,48982417.0,0.978,49374323.249,0.987486,50000000.0
2017-01-23,391906.249,49223786.0,0.987,49615692.249,0.992314,50000000.0
2017-01-24,391906.249,49163305.0,0.992,49555211.249,0.991104,50000000.0
2017-01-25,391906.249,49340312.0,0.991,49732218.249,0.994644,50000000.0
2017-01-26,391906.249,49571600.0,0.995,49963506.249,0.99927,50000000.0
2017-02-03,391906.249,49319590.0,0.999,49711496.249,0.99423,50000000.0
2017-02-06,391906.249,49541366.0,0.994,49933272.249,0.998665,50000000.0
2017-02-07,391906.249,49460654.0,0.999,49852560.249,0.997051,50000000.0
2017-02-08,391906.249,49776814.0,0.997,50168720.249,1.003374,50000000.0
2017-02-09,391906.249,49991760.0,1.003,50383666.249,1.007673,50000000.0
2017-02-10,391906.249,50232007.0,1.008,50623913.249,1.012478,50000000.0
2017-02-13,391906.249,50561632.0,1.012,50953538.249,1.019071,50000000.0
2017-02-14,391906.249,50635033.0,1.019,51026939.249,1.020539,50000000.0
2017-02-15,391906.249,50249046.0,1.021,50640952.249,1.012819,50000000.0
2017-02-16,391906.249,50589852.0,1.013,50981758.249,1.019635,50000000.0
2017-02-17,391906.249,50251600.0,1.02,50643506.249,1.01287,50000000.0
2017-02-20,391906.249,50972318.0,1.013,51364224.249,1.027284,50000000.0
2017-02-21,391906.249,51279017.0,1.027,51670923.249,1.033418,50000000.0
2017-02-22,391906.249,51419893.0,1.033,51811799.249,1.036236,50000000.0
2017-02-23,391906.249,51178616.0,1.036,51570522.249,1.03141,50000000.0
2017-02-24,391906.249,51231292.0,1.031,51623198.249,1.032464,50000000.0
2017-02-27,391906.249,50840514.0,1.032,51232420.249,1.024648,50000000.0
2017-02-28,391906.249,51028165.0,1.025,51420071.249,1.028401,50000000.0
2017-03-01,391906.249,51158832.0,1.028,51550738.249,1.031015,50000000.0
2017-03-02,391906.249,50815584.0,1.031,51207490.249,1.02415,50000000.0
2017-03-03,391906.249,50737721.0,1.024,51129627.249,1.022593,50000000.0
2017-03-06,396226.249,51119127.0,1.023,51515353.249,1.030307,50000000.0
2017-03-07,396226.249,51167463.6,1.03,51563689.849,1.031274,50000000.0
2017-03-08,396226.249,50992931.6,1.031,51389157.849,1.027783,50000000.0
2017-03-09,396226.249,50618672.4,1.028,51014898.649,1.020298,50000000.0
2017-03-10,396226.249,50639302.8,1.02,51035529.049,1.020711,50000000.0
2017-03-13,396226.249,51173545.6,1.021,51569771.849,1.031395,50000000.0
2017-03-14,396226.249,51085209.2,1.031,51481435.449,1.029629,50000000.0
2017-03-15,398386.249,51153474.4,1.03,51551860.649,1.031037,50000000.0
2017-03-16,398386.249,51505425.2,1.031,51903811.449,1.038076,50000000.0
2017-03-17,398386.249,50918356.8,1.038,51316743.049,1.026335,50000000.0
2017-03-20,398386.249,50980210.2,1.026,51378596.449,1.027572,50000000.0
2017-03-21,398386.249,51165045.2,1.028,51563431.449,1.031269,50000000.0
2017-03-22,398386.249,50937916.0,1.031,51336302.249,1.026726,50000000.0
2017-03-23,398386.249,51064965.0,1.027,51463351.249,1.029267,50000000.0
2017-03-24,398386.249,51459548.2,1.029,51857934.449,1.037159,50000000.0
2017-03-27,398386.249,51283470.2,1.037,51681856.449,1.033637,50000000.0
2017-03-28,398386.249,51148995.4,1.034,51547381.649,1.030948,50000000.0
2017-03-29,401935.249,51071543.4,1.031,51473478.649,1.02947,50000000.0
2017-03-30,401935.249,50493072.0,1.029,50895007.249,1.0179,50000000.0
2017-03-31,401935.249,50722605.6,1.018,51124540.849,1.022491,50000000.0
2017-04-05,401935.249,51703372.0,1.022,52105307.249,1.042106,50000000.0
2017-04-06,401935.249,51896644.0,1.042,52298579.249,1.045972,50000000.0
2017-04-07,405653.249,52058420.0,1.046,52464073.249,1.049281,50000000.0
2017-04-10,407456.249,51963646.6,1.049,52371102.849,1.047422,50000000.0
2017-04-11,415256.249,52387230.4,1.047,52802486.649,1.05605,50000000.0
2017-04-12,415256.249,52206635.8,1.056,52621892.049,1.052438,50000000.0
2017-04-13,415256.249,52399374.8,1.052,52814631.049,1.056293,50000000.0
2017-04-14,415256.249,51900183.0,1.056,52315439.249,1.046309,50000000.0
2017-04-17,415256.249,51566684.2,1.046,51981940.449,1.039639,50000000.0
2017-04-18,416411.249,51230677.9,1.04,51647089.149,1.032942,50000000.0
2017-04-19,417879.249,50860869.2,1.033,51278748.449,1.025575,50000000.0
2017-04-20,417879.249,50988914.2,1.026,51406793.449,1.028136,50000000.0
2017-04-21,418499.249,50927122.1,1.028,51345621.349,1.026912,50000000.0
2017-04-24,420419.249,50165776.5,1.027,50586195.749,1.011724,50000000.0
2017-04-25,421192.482,50242253.38,1.012,50663445.862,1.013269,50000000.0
2017-04-26,422258.482,50331852.282,1.013,50754110.763,1.015082,50000000.0
2017-04-27,422258.482,50313941.072,1.015,50736199.554,1.014724,50000000.0
2017-04-28,423907.231,50315511.235,1.015,50739418.466,1.014788,50000000.0
2017-05-02,423907.231,50093340.421,1.015,50517247.651,1.010345,50000000.0
2017-05-03,425513.731,49801213.973,1.01,50226727.704,1.004535,50000000.0
2017-05-04,425513.731,49658751.318,1.005,50084265.049,1.001685,50000000.0
2017-05-05,426249.731,49158919.761,1.002,49585169.492,0.991703,50000000.0
2017-05-08,426249.731,48619559.26,0.992,49045808.99,0.980916,50000000.0
2017-05-09,432069.731,48607312.811,0.981,49039382.542,0.980788,50000000.0
2017-05-10,443389.731,47989230.297,0.981,48432620.028,0.968652,50000000.0
2017-05-11,454845.731,48080080.917,0.969,48534926.648,0.970699,50000000.0
2017-05-12,469453.731,48246535.943,0.971,48715989.673,0.97432,50000000.0
2017-05-15,476475.231,48469877.865,0.974,48946353.095,0.978927,50000000.0
2017-05-16,480675.231,49114694.666,0.979,49595369.897,0.991907,50000000.0
2017-05-17,481320.231,49055340.043,0.992,49536660.273,0.990733,50000000.0
2017-05-18,491960.231,48812104.304,0.991,49304064.534,0.986081,50000000.0
2017-05-19,493880.231,48805575.689,0.986,49299455.919,0.985989,50000000.0
2017-05-22,498656.231,48602929.601,0.986,49101585.832,0.982032,50000000.0
2017-05-23,501384.231,48319924.314,0.982,48821308.545,0.976426,50000000.0
2017-05-24,505529.231,48408055.229,0.976,48913584.46,0.978272,50000000.0
2017-05-25,519086.442,49025525.926,0.978,49544612.368,0.990892,50000000.0
2017-05-26,526313.942,48947756.828,0.991,49474070.769,0.989481,50000000.0
2017-05-31,530373.442,49127782.026,0.989,49658155.468,0.993163,50000000.0
2017-06-01,534373.442,48907781.978,0.993,49442155.42,0.988843,50000000.0
2017-06-02,535919.042,48976513.586,0.989,49512432.628,0.990249,50000000.0
2017-06-05,557364.042,48958769.746,0.99,49516133.788,0.990323,50000000.0
2017-06-06,564110.042,49211913.043,0.99,49776023.085,0.99552,50000000.0
2017-06-07,575832.002,49924140.057,0.996,50499972.059,1.009999,50000000.0
2017-06-08,589302.002,50111746.261,1.01,50701048.263,1.014021,50000000.0
2017-06-09,605583.502,50244162.461,1.014,50849745.963,1.016995,50000000.0
2017-06-12,607444.502,50027846.647,1.017,50635291.149,1.012706,50000000.0
2017-06-13,619177.402,50362241.681,1.013,50981419.083,1.019628,50000000.0
2017-06-14,656855.802,49905502.679,1.02,50562358.481,1.011247,50000000.0
2017-06-15,668052.802,50020876.393,1.011,50688929.195,1.013779,50000000.0
2017-06-16,706924.002,49907467.643,1.014,50614391.644,1.012288,50000000.0
2017-06-19,716724.002,50265197.242,1.012,50981921.244,1.019638,50000000.0
2017-06-20,717166.002,50205614.303,1.02,50922780.305,1.018456,50000000.0
2017-06-21,729291.502,50659436.765,1.018,51388728.267,1.027775,50000000.0
2017-06-22,736963.518,50430450.691,1.028,51167414.209,1.023348,50000000.0
2017-06-23,741162.018,50785776.094,1.023,51526938.112,1.030539,50000000.0
2017-06-26,746879.038,51514349.186,1.031,52261228.224,1.045225,50000000.0
2017-06-27,746879.038,51570234.127,1.045,52317113.165,1.046342,50000000.0
2017-06-28,748634.038,51223903.49,1.046,51972537.528,1.039451,50000000.0
2017-06-29,773903.938,51509100.226,1.039,52283004.164,1.04566,50000000.0
2017-06-30,786752.753,51517941.265,1.046,52304694.018,1.046094,50000000.0
2017-07-03,786752.753,51526292.159,1.046,52313044.912,1.046261,50000000.0
2017-07-04,794194.753,51208007.884,1.046,52002202.636,1.040044,50000000.0
2017-07-05,814701.053,51594145.342,1.04,52408846.395,1.048177,50000000.0
2017-07-06,829368.853,51584799.328,1.048,52414168.181,1.048283,50000000.0
2017-07-07,846174.251,51660874.892,1.048,52507049.143,1.050141,50000000.0
2017-07-10,888875.487,51536621.437,1.05,52425496.924,1.04851,50000000.0
