date,cash,dividend_receivable,market_value,total_value,transaction_cost
2017-01-03,391906.249,0.0,49469500.0,49861406.249,39654.751
2017-01-04,391906.249,0.0,49913850.0,50305756.249,0.0
2017-01-05,391906.249,0.0,49929190.0,50321096.249,0.0
2017-01-06,391906.249,0.0,49643122.0,50035028.249,0.0
2017-01-09,391906.249,0.0,49946333.0,50338239.249,0.0
2017-01-10,391906.249,0.0,49831002.0,50222908.249,0.0
2017-01-11,391906.249,0.0,49406840.0,49798746.249,0.0
2017-01-12,391906.249,0.0,49021057.0,49412963.249,0.0
2017-01-13,391906.249,0.0,48788106.0,49180012.249,0.0
2017-01-16,391906.249,0.0,48398983.0,48790889.249,0.0
2017-01-17,391906.249,0.0,48591821.0,48983727.249,0.0
2017-01-18,391906.249,0.0,48643032.0,49034938.249,0.0
2017-01-19,391906.249,0.0,48515989.0,48907895.249,0.0
2017-01-20,391906.249,0.0,48982417.0,49374323.249,0.0
2017-01-23,391906.249,0.0,49223786.0,49615692.249,0.0
2017-01-24,391906.249,0.0,49163305.0,49555211.249,0.0
2017-01-25,391906.249,0.0,49340312.0,49732218.249,0.0
2017-01-26,391906.249,0.0,49571600.0,49963506.249,0.0
2017-02-03,391906.249,0.0,49319590.0,49711496.249,0.0
2017-02-06,391906.249,0.0,49541366.0,49933272.249,0.0
2017-02-07,391906.249,0.0,49460654.0,49852560.249,0.0
2017-02-08,391906.249,0.0,49776814.0,50168720.249,0.0
2017-02-09,391906.249,0.0,49991760.0,50383666.249,0.0
2017-02-10,391906.249,0.0,50232007.0,50623913.249,0.0
2017-02-13,391906.249,0.0,50561632.0,50953538.249,0.0
2017-02-14,391906.249,0.0,50635033.0,51026939.249,0.0
2017-02-15,391906.249,0.0,50249046.0,50640952.249,0.0
2017-02-16,391906.249,0.0,50589852.0,50981758.249,0.0
2017-02-17,391906.249,0.0,50251600.0,50643506.249,0.0
2017-02-20,391906.249,0.0,50972318.0,51364224.249,0.0
2017-02-21,391906.249,0.0,51279017.0,51670923.249,0.0
2017-02-22,391906.249,0.0,51419893.0,51811799.249,0.0
2017-02-23,391906.249,0.0,51178616.0,51570522.249,0.0
2017-02-24,391906.249,0.0,51231292.0,51623198.249,0.0
2017-02-27,391906.249,0.0,50840514.0,51232420.249,0.0
2017-02-28,391906.249,0.0,51028165.0,51420071.249,0.0
2017-03-01,391906.249,0.0,51158832.0,51550738.249,0.0
2017-03-02,391906.249,0.0,50815584.0,51207490.249,0.0
2017-03-03,391906.249,0.0,50737721.0,51129627.249,0.0
2017-03-06,396226.249,0.0,51119127.0,51515353.249,0.0
2017-03-07,396226.249,0.0,51167463.6,51563689.849,0.0
2017-03-08,396226.249,0.0,50992931.6,51389157.849,0.0
2017-03-09,396226.249,0.0,50618672.4,51014898.649,0.0
2017-03-10,396226.249,0.0,50639302.8,51035529.049,0.0
2017-03-13,396226.249,0.0,51173545.6,51569771.849,0.0
2017-03-14,396226.249,0.0,51085209.2,51481435.449,0.0
2017-03-15,398386.249,0.0,51153474.4,51551860.649,0.0
2017-03-16,398386.249,0.0,51505425.2,51903811.449,0.0
2017-03-17,398386.249,0.0,50918356.8,51316743.049,0.0
2017-03-20,398386.249,0.0,50980210.2,51378596.449,0.0
2017-03-21,398386.249,0.0,51165045.2,51563431.449,0.0
2017-03-22,398386.249,0.0,50937916.0,51336302.249,0.0
2017-03-23,398386.249,0.0,51064965.0,51463351.249,0.0
2017-03-24,398386.249,0.0,51459548.2,51857934.449,0.0
2017-03-27,398386.249,0.0,51283470.2,51681856.449,0.0
