date,cash,market_value,static_unit_net_value,total_value,unit_net_value,units
2017-01-03,22019.87,49838353.0,1.0,49860372.87,0.997207,50000000.0
2017-01-04,22019.87,50143447.0,0.997,50165466.87,1.003309,50000000.0
2017-01-05,22019.87,50210283.0,1.003,50232302.87,1.004646,50000000.0
2017-01-06,22019.87,49923510.0,1.005,49945529.87,0.998911,50000000.0
2017-01-09,22019.87,50189826.0,0.999,50211845.87,1.004237,50000000.0
2017-01-10,22019.87,50044819.0,1.004,50066838.87,1.001337,50000000.0
2017-01-11,22019.87,49687668.0,1.001,49709687.87,0.994194,50000000.0
2017-01-12,22019.87,49490082.0,0.994,49512101.87,0.990242,50000000.0
2017-01-13,22019.87,49704280.0,0.99,49726299.87,0.994526,50000000.0
2017-01-16,22019.87,50296048.0,0.995,50318067.87,1.006361,50000000.0
2017-01-17,22019.87,50117743.0,1.006,50139762.87,1.002795,50000000.0
2017-01-18,22019.87,50337731.0,1.003,50359750.87,1.007195,50000000.0
2017-01-19,22019.87,50133556.0,1.007,50155575.87,1.003112,50000000.0
2017-01-20,22019.87,50430927.0,1.003,50452946.87,1.009059,50000000.0
2017-01-23,22019.87,50491584.0,1.009,50513603.87,1.010272,50000000.0
2017-01-24,22019.87,50550789.0,1.01,50572808.87,1.011456,50000000.0
2017-01-25,22019.87,50670288.0,1.011,50692307.87,1.013846,50000000.0
2017-01-26,22019.87,50779914.0,1.014,50801933.87,1.016039,50000000.0
2017-02-03,22019.87,50366148.0,1.016,50388167.87,1.007763,50000000.0
2017-02-06,22019.87,50461817.0,1.008,50483836.87,1.009677,50000000.0
2017-02-07,22019.87,50324085.0,1.01,50346104.87,1.006922,50000000.0
2017-02-08,22019.87,50633393.0,1.007,50655412.87,1.013108,50000000.0
2017-02-09,22019.87,50865567.0,1.013,50887586.87,1.017752,50000000.0
2017-02-10,22019.87,51166055.0,1.018,51188074.87,1.023761,50000000.0
2017-02-13,22019.87,51411416.0,1.024,51433435.87,1.028669,50000000.0
2017-02-14,22019.87,51393190.0,1.029,51415209.87,1.028304,50000000.0
2017-02-15,22019.87,51196614.0,1.028,51218633.87,1.024373,50000000.0
2017-02-16,22019.87,51406215.0,1.024,51428234.87,1.028565,50000000.0
2017-02-17,22019.87,51052355.0,1.029,51074374.87,1.021487,50000000.0
2017-02-20,22019.87,51645337.0,1.021,51667356.87,1.033347,50000000.0
