date,cash,dividend_receivable,market_value,total_value,transaction_cost
2017-01-03,22019.87,0.0,49838353.0,49860372.87,39950.424
2017-01-04,22019.87,0.0,50143447.0,50165466.87,0.0
2017-01-05,22019.87,0.0,50210283.0,50232302.87,0.0
2017-01-06,22019.87,0.0,49923510.0,49945529.87,0.0
2017-01-09,22019.87,0.0,50189826.0,50211845.87,0.0
2017-01-10,22019.87,0.0,50044819.0,50066838.87,0.0
2017-01-11,22019.87,0.0,49687668.0,49709687.87,0.0
2017-01-12,22019.87,0.0,49490082.0,49512101.87,0.0
2017-01-13,22019.87,0.0,49704280.0,49726299.87,0.0
2017-01-16,22019.87,0.0,50296048.0,50318067.87,0.0
2017-01-17,22019.87,0.0,50117743.0,50139762.87,0.0
2017-01-18,22019.87,0.0,50337731.0,50359750.87,0.0
2017-01-19,22019.87,0.0,50133556.0,50155575.87,0.0
2017-01-20,22019.87,0.0,50430927.0,50452946.87,0.0
2017-01-23,22019.87,0.0,50491584.0,50513603.87,0.0
2017-01-24,22019.87,0.0,50550789.0,50572808.87,0.0
2017-01-25,22019.87,0.0,50670288.0,50692307.87,0.0
2017-01-26,22019.87,0.0,50779914.0,50801933.87,0.0
2017-02-03,22019.87,0.0,50366148.0,50388167.87,0.0
2017-02-06,22019.87,0.0,50461817.0,50483836.87,0.0
2017-02-07,22019.87,0.0,50324085.0,50346104.87,0.0
2017-02-08,22019.87,0.0,50633393.0,50655412.87,0.0
2017-02-09,22019.87,0.0,50865567.0,50887586.87,0.0
2017-02-10,22019.87,0.0,51166055.0,51188074.87,0.0
2017-02-13,22019.87,0.0,51411416.0,51433435.87,0.0
2017-02-14,22019.87,0.0,51393190.0,51415209.87,0.0
2017-02-15,22019.87,0.0,51196614.0,51218633.87,0.0
2017-02-16,22019.87,0.0,51406215.0,51428234.87,0.0
2017-02-17,22019.87,0.0,51052355.0,51074374.87,0.0
2017-02-20,22019.87,0.0,51645337.0,51667356.87,0.0
2017-02-21,22019.87,0.0,51746754.0,51768773.87,0.0
2017-02-22,22019.87,0.0,51750871.0,51772890.87,0.0
2017-02-23,22019.87,0.0,51444918.0,51466937.87,0.0
2017-02-24,22019.87,0.0,51547835.0,51569854.87,0.0
2017-02-27,22019.87,0.0,51068011.0,51090030.87,0.0
2017-02-28,22019.87,0.0,51157447.0,51179466.87,0.0
2017-03-01,22019.87,0.0,51217712.0,51239731.87,0.0
2017-03-02,22019.87,0.0,50877364.0,50899383.87,0.0
2017-03-03,22019.87,0.0,50613314.0,50635333.87,0.0
2017-03-06,22019.87,0.0,50749294.0,50771313.87,0.0
2017-03-07,22019.87,0.0,50824169.0,50846188.87,0.0
2017-03-08,22019.87,0.0,50849402.0,50871421.87,0.0
2017-03-09,22019.87,0.0,50596141.0,50618160.87,0.0
2017-03-10,22019.87,0.0,50405141.0,50427160.87,0.0
2017-03-13,22019.87,0.0,50732331.0,50754350.87,0.0
2017-03-14,22019.87,0.0,50739760.0,50761779.87,0.0
2017-03-15,22019.87,0.0,50826061.0,50848080.87,0.0
2017-03-16,22019.87,0.0,51199684.0,51221703.87,0.0
2017-03-17,22019.87,0.0,50672277.0,50694296.87,0.0
2017-03-20,22019.87,0.0,50831607.0,50853626.87,0.0
2017-03-21,22019.87,0.0,50989511.0,51011530.87,0.0
2017-03-22,22019.87,0.0,50625906.0,50647925.87,0.0
2017-03-23,22019.87,0.0,50783968.0,50805987.87,0.0
2017-03-24,22019.87,0.0,51177476.0,51199495.87,0.0
2017-03-27,22019.87,0.0,51092600.0,51114619.87,0.0
2017-03-28,22019.87,0.0,50859098.0,50881117.87,0.0
2017-03-29,43235.87,0.0,50787821.0,50831056.87,0.0
2017-03-30,43235.87,0.0,50624553.0,50667788.87,0.0
2017-03-31,43235.87,0.0,50818535.0,50861770.87,0.0
2017-04-05,43235.87,0.0,51499478.0,51542713.87,0.0
2017-04-06,43235.87,0.0,51642712.0,51685947.87,0.0
2017-04-07,43235.87,0.0,51725346.0,51768581.87,0.0
2017-04-10,43235.87,0.0,51540419.0,51583654.87,0.0
2017-04-11,43235.87,0.0,51752045.0,51795280.87,0.0
2017-04-12,43235.87,0.0,51691602.0,51734837.87,0.0
2017-04-13,43235.87,0.0,51447549.0,51490784.87,0.0
2017-04-14,43235.87,0.0,51156573.0,51199808.87,0.0
2017-04-17,43235.87,0.0,51142359.0,51185594.87,0.0
2017-04-18,43235.87,0.0,50653315.0,50696550.87,0.0
2017-04-19,43235.87,0.0,50380984.0,50424219.87,0.0
2017-04-20,43235.87,0.0,50590074.0,50633309.87,0.0
2017-04-21,43235.87,0.0,50831756.0,50874991.87,0.0
2017-04-24,43235.87,0.0,50623752.0,50666987.87,0.0
2017-04-25,43235.87,0.0,50497485.0,50540720.87,0.0
2017-04-26,43235.87,0.0,50366803.0,50410038.87,0.0
2017-04-27,43235.87,0.0,50506198.0,50549433.87,0.0
2017-04-28,47416.967,0.0,50449391.0,50496807.967,0.0
2017-05-02,47416.967,0.0,50279170.0,50326586.967,0.0
2017-05-03,47416.967,0.0,50150195.0,50197611.967,0.0
2017-05-04,47416.967,0.0,50063321.0,50110737.967,0.0
2017-05-05,47416.967,0.0,49944012.0,49991428.967,0.0
