date,cash,dividend_receivable,market_value,total_value,transaction_cost
2017-01-03,775878.981,0.0,49086600.0,49862478.981,39347.819
2017-01-04,775878.981,0.0,49669976.0,50445854.981,0.0
2017-01-05,775878.981,0.0,49706839.0,50482717.981,0.0
2017-01-06,775878.981,0.0,49504388.0,50280266.981,0.0
2017-01-09,775878.981,0.0,49885401.0,50661279.981,0.0
2017-01-10,775878.981,0.0,49748556.0,50524434.981,0.0
2017-01-11,775878.981,0.0,49227114.0,50002992.981,0.0
2017-01-12,775878.981,0.0,48757453.0,49533331.981,0.0
2017-01-13,775878.981,0.0,48069348.0,48845226.981,0.0
2017-01-16,775878.981,0.0,46614227.0,47390105.981,0.0
2017-01-17,775878.981,0.0,47043534.0,47819412.981,0.0
2017-01-18,775878.981,0.0,46977199.0,47753077.981,0.0
2017-01-19,775878.981,0.0,46790462.0,47566340.981,0.0
2017-01-20,775878.981,0.0,47446276.0,48222154.981,0.0
2017-01-23,775878.981,0.0,47859998.0,48635876.981,0.0
2017-01-24,775878.981,0.0,47798812.0,48574690.981,0.0
2017-01-25,775878.981,0.0,47893197.0,48669075.981,0.0
2017-01-26,775878.981,0.0,48239022.0,49014900.981,0.0
2017-02-03,775878.981,0.0,48096107.0,48871985.981,0.0
2017-02-06,775878.981,0.0,48522937.0,49298815.981,0.0
2017-02-07,775878.981,0.0,48503011.0,49278889.981,0.0
2017-02-08,775878.981,0.0,48817033.0,49592911.981,0.0
2017-02-09,775878.981,0.0,49198138.0,49974016.981,0.0
2017-02-10,775878.981,0.0,49297062.0,50072940.981,0.0
2017-02-13,775878.981,0.0,49574124.0,50350002.981,0.0
2017-02-14,775878.981,0.0,49631941.0,50407819.981,0.0
2017-02-15,775878.981,0.0,49101824.0,49877702.981,0.0
2017-02-16,775878.981,0.0,49510279.0,50286157.981,0.0
2017-02-17,775878.981,0.0,49085955.0,49861833.981,0.0
2017-02-20,775878.981,0.0,49746216.0,50522094.981,0.0
2017-02-21,775878.981,0.0,50147706.0,50923584.981,0.0
2017-02-22,775878.981,0.0,50491395.0,51267273.981,0.0
2017-02-23,775878.981,0.0,50425861.0,51201739.981,0.0
2017-02-24,775878.981,0.0,50450120.0,51225998.981,0.0
2017-02-27,775878.981,0.0,50008904.0,50784782.981,0.0
2017-02-28,775878.981,0.0,50240640.0,51016518.981,0.0
2017-03-01,775878.981,0.0,50387402.0,51163280.981,0.0
2017-03-02,775878.981,0.0,50105544.0,50881422.981,0.0
2017-03-03,777843.981,0.0,50207490.0,50985333.981,0.0
2017-03-06,777843.981,0.0,50725311.0,51503154.981,0.0
2017-03-07,777843.981,0.0,50752206.0,51530049.981,0.0
2017-03-08,777843.981,0.0,50548495.0,51326338.981,0.0
2017-03-09,777843.981,0.0,50069110.0,50846953.981,0.0
2017-03-10,777843.981,0.0,50119542.0,50897385.981,0.0
2017-03-13,777843.981,0.0,50604644.0,51382487.981,0.0
2017-03-14,777843.981,0.0,50470425.0,51248268.981,0.0
2017-03-15,777843.981,0.0,50421989.0,51199832.981,0.0
2017-03-16,777843.981,0.0,50894283.0,51672126.981,0.0
2017-03-17,777843.981,0.0,50436612.0,51214455.981,0.0
2017-03-20,777843.981,0.0,50610026.0,51387869.981,0.0
2017-03-21,777843.981,0.0,50686272.0,51464115.981,0.0
2017-03-22,777843.981,0.0,50501363.0,51279206.981,0.0
2017-03-23,777843.981,0.0,50610029.0,51387872.981,0.0
2017-03-24,777843.981,0.0,50878263.0,51656106.981,0.0
2017-03-27,777843.981,0.0,50662225.0,51440068.981,0.0
2017-03-28,777843.981,0.0,50524988.0,51302831.981,0.0
2017-03-29,777843.981,0.0,50364945.0,51142788.981,0.0
2017-03-30,777843.981,0.0,49517925.0,50295768.981,0.0
2017-03-31,777843.981,0.0,49648146.0,50425989.981,0.0
2017-04-05,777843.981,0.0,50788702.0,51566545.981,0.0
2017-04-06,777843.981,0.0,50973777.0,51751620.981,0.0
2017-04-07,777843.981,0.0,51119489.0,51897332.981,0.0
2017-04-10,777843.981,0.0,51026529.0,51804372.981,0.0
2017-04-11,777843.981,0.0,51592985.0,52370828.981,0.0
2017-04-12,777843.981,0.0,51119531.0,51897374.981,0.0
2017-04-13,783793.981,0.0,51464147.0,52247940.981,0.0
2017-04-14,784443.981,0.0,50732629.0,51517072.981,0.0
2017-04-17,784443.981,0.0,50110776.0,50895219.981,0.0
2017-04-18,784443.981,0.0,49813925.0,50598368.981,0.0
2017-04-19,786351.881,0.0,49270339.0,50056690.881,0.0
2017-04-20,786351.881,0.0,49211595.0,49997946.881,0.0
2017-04-21,787948.381,0.0,48829840.0,49617788.381,0.0
2017-04-24,792158.381,0.0,47461795.0,48253953.381,0.0
2017-04-25,792158.381,0.0,47649564.0,48441722.381,0.0
2017-04-26,792790.881,0.0,47788677.0,48581467.881,0.0
2017-04-27,802628.881,0.0,47937116.0,48739744.881,0.0
2017-04-28,805488.881,0.0,48122812.0,48928300.881,0.0
2017-05-02,805488.881,0.0,48180104.0,48985592.881,0.0
2017-05-03,805488.881,0.0,48040470.0,48845958.881,0.0
2017-05-04,805488.881,0.0,47912556.0,48718044.881,0.0
2017-05-05,807288.881,0.0,47224466.0,48031754.881,0.0
2017-05-08,809488.881,0.0,46296593.0,47106081.881,0.0
2017-05-09,809488.881,0.0,46613236.0,47422724.881,0.0
2017-05-10,814003.381,0.0,45549799.1,46363802.481,0.0
2017-05-11,818666.381,0.0,45403773.3,46222439.681,0.0
2017-05-12,826016.471,0.0,45328250.3,46154266.771,0.0
2017-05-15,828597.571,0.0,45566354.2,46394951.771,0.0
